Time  [ms],Memory Usage [KB]
0,2419904
100,2419748
200,2421672
301,2422588
401,2423560
501,2422792
602,2424512
702,2444152
803,2446204
903,2445816
1003,2448692
1104,2453808
1204,2458168
1305,2462952
1405,2470740
1506,2471820
1606,2473588
1706,2477480
1806,2482232
1907,2478332
2007,2479056
2108,2479384
2208,2476660
2308,2473984
2409,2476124
2509,2478624
2609,2481604
2710,2484932
2810,2490268
2910,2512076
3011,2529944
3111,2537744
3212,2540720
3312,2543056
3412,2546400
3513,2554984
3613,2558664
3714,2569664
3814,2579364
3914,2590332
4015,2596316
4115,2599216
4217,2601392
4317,2603980
4416,2601824
4516,2603936
4617,2604152
4717,2613532
4818,2616308
4918,2619740
5018,2620960
5119,2624588
5219,2625268
5319,2637644
