datetime,cpu
Sun Oct 18 15:48:00 GMT 2020,26
Sun Oct 18 15:48:00 GMT 2020,26
Sun Oct 18 15:48:01 GMT 2020,26
Sun Oct 18 15:48:01 GMT 2020,26
Sun Oct 18 15:48:01 GMT 2020,26
Sun Oct 18 15:48:01 GMT 2020,26
Sun Oct 18 15:48:01 GMT 2020,26
Sun Oct 18 15:48:02 GMT 2020,26
Sun Oct 18 15:48:02 GMT 2020,26
Sun Oct 18 15:48:02 GMT 2020,26
Sun Oct 18 15:48:02 GMT 2020,26
Sun Oct 18 15:48:03 GMT 2020,26
Sun Oct 18 15:48:03 GMT 2020,26
Sun Oct 18 15:48:03 GMT 2020,26
Sun Oct 18 15:48:03 GMT 2020,26
