Time  [ms],Memory Usage [KB]
0,2461788
51,2462088
201,2463764
302,2464572
354,2465132
455,2459688
555,2460644
655,2460492
756,2461820
856,2463736
956,2464928
1057,2474368
1157,2477276
1258,2481444
1358,2485104
1459,2489100
1559,2482684
1663,2489968
1760,2488032
1860,2487628
1961,2489244
2061,2489348
2161,2490432
2262,2491456
2362,2493176
2463,2499900
2563,2502224
2663,2500148
2764,2503472
2866,2505836
2965,2530512
3065,2535480
3166,2539484
3266,2562352
3366,2568844
3467,2575532
3567,2578468
3667,2581484
3769,2580448
3870,2582288
3970,2584200
4070,2585448
4170,2586712
