"","name","critical","energy_consumption","time","memory_usage","cpu_usage"
"1","alliedtelesis",FALSE,43.381872,3918,2627413.6,16
"2","alliedtelesis",FALSE,38.756448,3922,2606393.1,15
"3","alliedtelesis",FALSE,36.73332,3918,2598420,15
"4","alliedtelesis",FALSE,36.866772,3717,2558930.84210526,15
"5","alliedtelesis",FALSE,40.335624,3716,2539787.26315789,16
"6","alliedtelesis",FALSE,41.689008,3714,2512719.26315789,15
"7","alliedtelesis",FALSE,42.46452,3821,2479597.53846154,15
"8","alliedtelesis",FALSE,38.3022,3470,2503777.77777778,15
"9","alliedtelesis",FALSE,41.650416,5127,2411082.84615385,15
"10","alliedtelesis",FALSE,38.324088,3864,2410151.4,17
"11","andreaswaelti",FALSE,28.433808,1564,2751031.29411765,14
"12","andreaswaelti",FALSE,29.449008,1508,2639528,16
"13","andreaswaelti",FALSE,30.88098,1516,2685581.5,12
"14","andreaswaelti",FALSE,32.030964,1607,2626990.58823529,15
"15","andreaswaelti",FALSE,31.514436,1655,2620751.33333333,12
"16","andreaswaelti",FALSE,31.266756,1608,2604045.64705882,15
"17","andreaswaelti",FALSE,34.385832,1664,2519843.33333333,16
"18","andreaswaelti",FALSE,32.340672,1653,2481775.11111111,15
"19","andreaswaelti",FALSE,31.407768,1615,2383631.29411765,15
"20","andreaswaelti",FALSE,27.441216,1563,2389894.58823529,15
"21","astropix",FALSE,32.04684,1755,2744438.94736842,16
"22","astropix",FALSE,31.500108,2109,2641862,15
"23","astropix",FALSE,31.733424,1659,2587890.88888889,15
"24","astropix",FALSE,30.871368,1857,2527888.6,15
"25","astropix",FALSE,28.317744,1561,2503804.94117647,15
"26","astropix",FALSE,30.2211,1761,2428526.10526316,15
"27","astropix",FALSE,29.352816,1811,2414889.26315789,16
"28","astropix",FALSE,27.342,1607,2450743.29411765,15
"29","astropix",FALSE,33.779088,1707,2402606.66666667,16
"30","astropix",FALSE,32.954976,1707,2387514.66666667,16
"31","bdfor",FALSE,67.47894,24178,2768141.80165289,15
"32","bdfor",FALSE,38.00736,3567,2520267.45945946,15
"33","bdfor",FALSE,37.01376,4017,2482623.51219512,16
"34","bdfor",FALSE,42.02856,5676,2478378.20689655,21.6666666666667
"35","bdfor",FALSE,45.25632,6730,2545386.47058824,15
"36","bdfor",FALSE,43.670772,5977,2435952.39344262,12
"37","bdfor",FALSE,71.2638,25535,2398165.90625,16.018691588785
"38","bdfor",FALSE,39.950136,5579,2402897.05263158,14
"39","bdfor",FALSE,41.621328,5029,2492382.90196078,16
"40","bdfor",FALSE,69.05088,22479,2431675.23555556,15
"41","coloradoboulevard",FALSE,45.787104,4834,2774648.16326531,15
"42","coloradoboulevard",FALSE,39.907728,3715,2639953.36842105,15
"43","coloradoboulevard",FALSE,41.88348,3719,2773501.68421053,15
"44","coloradoboulevard",FALSE,40.699548,3921,2532545,17
"45","coloradoboulevard",FALSE,47.135808,3771,2470304,16
"46","coloradoboulevard",FALSE,43.866828,3722,2459279.15789474,16
"47","coloradoboulevard",FALSE,46.379088,3765,2507887.38461538,14
"48","coloradoboulevard",FALSE,37.848996,3622,2412084.32432432,13
"49","coloradoboulevard",FALSE,40.344948,3571,2387461.62162162,15
"50","coloradoboulevard",FALSE,39.69432,3619,2382177.2972973,15
"51","alliedtelesis",TRUE,40.15368,3828,2624611.8974359,14
"52","alliedtelesis",TRUE,41.95692,3464,2627063.55555556,16
"53","alliedtelesis",TRUE,41.27004,3965,2600228.7804878,16
"54","alliedtelesis",TRUE,40.930164,3766,2536973.02564103,14
"55","alliedtelesis",TRUE,36.711216,3616,2477099.89189189,15
"56","alliedtelesis",TRUE,41.019264,3716,2449107.36842105,16
"57","alliedtelesis",TRUE,41.02488,4578,2428961.70212766,15
"58","alliedtelesis",TRUE,40.261032,3719,2430766.21052632,15
"59","alliedtelesis",TRUE,38.904408,3814,2514968.20512821,16
"60","alliedtelesis",TRUE,44.34192,4022,2505811.31707317,15
"61","andreaswaelti",TRUE,32.284224,1555,2680592,15
"62","andreaswaelti",TRUE,32.162832,2310,2756750.66666667,15
"63","andreaswaelti",TRUE,51.151572,7028,2632036.05633803,25.8181818181818
"64","andreaswaelti",TRUE,35.131248,2562,2542808.74074074,15
"65","andreaswaelti",TRUE,31.880304,1759,2487570.73684211,15
"66","andreaswaelti",TRUE,34.632792,1657,2536585.55555556,16
"67","andreaswaelti",TRUE,32.125572,1514,2519018,16
"68","andreaswaelti",TRUE,27.9936,1703,2457518.88888889,16
"69","andreaswaelti",TRUE,32.46462,1558,2522005.17647059,15
"70","andreaswaelti",TRUE,28.00008,1608,2387697.64705882,14
"71","astropix",TRUE,31.500108,1555,2587818.58823529,15
"72","astropix",TRUE,31.356072,1305,2662193.14285714,16
"73","astropix",TRUE,32.125968,1657,2589010.22222222,15
"74","astropix",TRUE,30.41136,1713,2469711.11111111,16
"75","astropix",TRUE,29.304828,1606,2470117.88235294,15
"76","astropix",TRUE,28.414044,1505,2452292.25,16
"77","astropix",TRUE,29.683692,1610,2380866.11764706,15
"78","astropix",TRUE,32.306256,1458,2451440,16
"79","astropix",TRUE,29.697444,1508,2425346.5,15
"80","astropix",TRUE,32.066784,1408,2390950.13333333,16
"81","bdfor",TRUE,32.291568,2209,2603280.69565217,15
"82","bdfor",TRUE,38.482452,2459,2622705.84615385,15
"83","bdfor",TRUE,37.87884,2515,2607792.76923077,16
"84","bdfor",TRUE,35.171928,2364,2586706.56,15
"85","bdfor",TRUE,34.84008,2514,2540058.15384615,15
"86","bdfor",TRUE,38.422332,2912,2547471.06666667,16
"87","bdfor",TRUE,36.40716,2413,2458692,15
"88","bdfor",TRUE,34.533432,2413,2455043.68,16
"89","bdfor",TRUE,34.20648,2513,2372512.30769231,14
"90","bdfor",TRUE,36.728208,2610,2376976.14814815,14
"91","coloradoboulevard",TRUE,36.99648,3217,2789544.48484848,15
"92","coloradoboulevard",TRUE,40.689648,3669,2677551.36842105,15
"93","coloradoboulevard",TRUE,42.486444,3416,2599581.37142857,16
"94","coloradoboulevard",TRUE,41.854248,3417,2478055.77142857,12
"95","coloradoboulevard",TRUE,44.355168,3112,2468581.25,16
"96","coloradoboulevard",TRUE,43.198704,3121,2502130.75,15
"97","coloradoboulevard",TRUE,42.73884,3573,2491607.24324324,16
"98","coloradoboulevard",TRUE,38.07594,4116,2419962,15
"99","coloradoboulevard",TRUE,42.155676,3215,2431446.3030303,15
"100","coloradoboulevard",TRUE,40.482,3311,2451175.88235294,15
"101","denverite",TRUE,33.889896,2213,2636561.04347826,16
"102","denverite",TRUE,34.681716,1814,2662763.57894737,17
"103","denverite",TRUE,33.342912,2107,2714493.45454545,16
"104","denverite",TRUE,32.044536,2413,2602873.76,15
"105","denverite",TRUE,38.760336,2210,2573269.56521739,16
"106","denverite",TRUE,33.44454,3922,2402830.4,14
"107","denverite",TRUE,31.407768,1957,2475065.52380952,14
"108","denverite",TRUE,34.52544,2308,2475748.66666667,16
"109","denverite",TRUE,36.383256,1759,2451420,16
"110","denverite",TRUE,36.582084,1862,2407885.4,16
"111","drivenxdesign",TRUE,39.67488,4423,2767141.68888889,14
"112","drivenxdesign",TRUE,36.801,4323,2650456.27272727,14
"113","drivenxdesign",TRUE,45.89424,5773,2634069.62711864,16
"114","drivenxdesign",TRUE,45.14256,4819,2628165.63265306,17.4166666666667
"115","drivenxdesign",TRUE,44.806824,4770,2607937.79591837,17.304347826087
"116","drivenxdesign",TRUE,48.67776,5321,2514052.59259259,19.8
"117","drivenxdesign",TRUE,45.109656,4873,2496785.6,19.125
"118","drivenxdesign",TRUE,43.50528,5074,2467557.23076923,16
"119","drivenxdesign",TRUE,37.195092,4520,2441527.65217391,16
"120","drivenxdesign",TRUE,44.01216,4969,2438107.60784314,15
"121","heinlein",TRUE,28.343952,1508,2602878.75,14
"122","heinlein",TRUE,29.27736,1411,2565060.26666667,15
"123","heinlein",TRUE,28.50552,1507,2673631,16
"124","heinlein",TRUE,28.0908,1358,2669699.46666667,17
"125","heinlein",TRUE,28.635552,1515,2461620.25,15
"126","heinlein",TRUE,29.32524,1659,2456606.88888889,16
"127","heinlein",TRUE,28.440396,1410,2468999.2,14
"128","heinlein",TRUE,28.7379,1661,2446402.44444444,15
"129","heinlein",TRUE,29.062044,1805,2403913.26315789,15
"130","heinlein",TRUE,30.800088,1360,2395902.66666667,16
"131","japassie",TRUE,40.811148,3217,2687209.09090909,14
"132","japassie",TRUE,40.066092,3319,2655792.94117647,16
"133","japassie",TRUE,42.6618,3473,2688279,17
"134","japassie",TRUE,39.008412,2816,2469703.31034483,16
"135","japassie",TRUE,42.368508,3016,2488169.29032258,16
"136","japassie",TRUE,35.932284,3316,2393696.58823529,16
"137","japassie",TRUE,40.316976,3065,2445718.125,15
"138","japassie",TRUE,46.18944,7742,2452660.30769231,26.8108108108108
"139","japassie",TRUE,37.21554,2722,2405840.42857143,15
"140","japassie",TRUE,33.997536,2922,2385798.13333333,14
"141","kasteelhoensbroek",TRUE,36.482292,2560,2578962.07407407,14
"142","kasteelhoensbroek",TRUE,37.682064,2510,2636051.23076923,16
"143","kasteelhoensbroek",TRUE,36.257112,2411,2628335.36,14
"144","kasteelhoensbroek",TRUE,38.649312,2416,2671803.04,17
"145","kasteelhoensbroek",TRUE,41.689008,4017,2486265.36585366,15
"146","kasteelhoensbroek",TRUE,39.246372,4821,2499356.24489796,16.7391304347826
"147","kasteelhoensbroek",TRUE,37.023012,2816,2449714.62068966,15
"148","kasteelhoensbroek",TRUE,41.016276,2715,2400302.42857143,16
"149","kasteelhoensbroek",TRUE,36.2781,2813,2437485.93103448,16
"150","kasteelhoensbroek",TRUE,35.041752,2612,2381104.74074074,14
"151","kpoe",TRUE,33.098076,1557,2628980.23529412,14
"152","kpoe",TRUE,82.695816,38106,2582452.39895013,18.2215189873418
"153","kpoe",TRUE,33.573168,1611,2494298.82352941,16
"154","kpoe",TRUE,31.88898,1812,2454433.26315789,15
"155","kpoe",TRUE,31.0464,1355,2418720.53333333,16
"156","kpoe",TRUE,31.970376,1408,2437100.26666667,16
"157","kpoe",TRUE,30.564252,1559,2413162.58823529,14
"158","kpoe",TRUE,31.563252,2010,2410264.76190476,15
"159","kpoe",TRUE,31.1256,1461,2419539.5,16
"160","kpoe",TRUE,32.147892,1356,2413491.73333333,16
"161","magnetadservices",TRUE,30.45024,2213,2661277.73913043,10
"162","magnetadservices",TRUE,33.414804,2262,2648371.83333333,16
"163","magnetadservices",TRUE,34.523352,1707,2657026.22222222,17
