"","name","critical","energy_consumption","time","memory_usage","cpu_usage"
"1","adidasnmd",FALSE,58.43376,3918,2507161.8,29
"2","adidasnmd",FALSE,56.92032,5878,2497566.2,26
"3","adidasnmd",FALSE,68.304888,7334,2542048.05405405,31
"4","adidasnmd",FALSE,60.780168,4819,2515255.67346939,30
"5","adidasnmd",FALSE,60.044616,3724,2494773.26315789,31
"6","adidasnmd",FALSE,54.936684,4221,2639389.02325581,27
"7","adidasnmd",FALSE,56.246112,3716,2623849.47368421,28
"8","adidasnmd",FALSE,57.07584,3714,2565171.57894737,29
"9","adidasnmd",FALSE,257.80464,151699,2540660.36507937,30
"10","adidasnmd",FALSE,136.668132,57845,2530815.9100346,30
"11","adriaticbasket",FALSE,56.648592,4620,2535599.40425532,29
"12","adriaticbasket",FALSE,54.793944,3816,2505891.69230769,26
"13","adriaticbasket",FALSE,58.813776,4722,2467362.33333333,31
"14","adriaticbasket",FALSE,56.933496,3923,2515544,29
"15","adriaticbasket",FALSE,69.68016,5829,2531740.20338983,29
"16","adriaticbasket",FALSE,56.852676,3918,2635015.9,29
"17","adriaticbasket",FALSE,54.63558,3920,2632345.5,28
"18","adriaticbasket",FALSE,53.84376,4121,2652855.23809524,26
"19","adriaticbasket",FALSE,54.755712,4019,2574609.95121951,28
"20","adriaticbasket",FALSE,65.797596,7134,2549886.11111111,26
"21","ammar",FALSE,55.8963,5028,2550133.33333333,26
"22","ammar",FALSE,56.19366,4723,2493644.58333333,28
"23","ammar",FALSE,56.14272,5324,2501857.48148148,29
"24","ammar",FALSE,65.849472,5023,2521152.70588235,31
"25","ammar",FALSE,55.727712,5225,2536102.79245283,27
"26","ammar",FALSE,57.07584,5023,2477588.15686275,30
"27","ammar",FALSE,55.383588,5131,2511752.61538462,27
"28","ammar",FALSE,56.92032,6529,2648119.21212121,27
"29","ammar",FALSE,55.30104,5252,2633780.83018868,29
"30","ammar",FALSE,54.952128,7436,2567474.08,24
"31","cbdvapejuice",FALSE,56.80368,3414,2476870.74285714,27
"32","cbdvapejuice",FALSE,70.278768,5329,2497879.40740741,29
