"","name","energy_mean","energy_sd","cpu_util_mean","cpu_util_sd","memory_usage_mean","memory_usage_sd","time_mean","time_sd"
"1","adidasnmd","86.721516","64.9735696745502","29.1","1.66332999331662","2545669.13416827","50383.8841560434","24686.8","47668.3555383793"
"2","adriaticbasket","58.2755292","5.27899031048764","28.1","1.66332999331662","2560085.0333712","62074.156673958","4602.2","1080.86095312949"
"3","alliedtelesis","39.8504268","2.37352067309607","15.4","0.699205898780101","2524827.36308142","76524.1046589903","3918.7","446.90815611264"
"4","ammar","56.944278","3.20085443586927","27.8","2.04396129556745","2544160.57910406","57577.2442211972","5469.4","842.180397671557"
"5","andreaswaelti","30.915144","2.01175009197862","14.5","1.43372087784044","2570307.26895425","122663.912292443","1595.3","56.0080351378264"
"6","astropix","30.8119464","2.02724279775502","15.4","0.516397779494322","2509016.53733058","117613.44232469","1753.4","153.561569266388"
"7","bdfor","49.5341856","13.8572162078776","15.5685358255452","2.45514985168868","2495587.09406328","107275.858762253","10876.7","9173.6433214339"
"8","cbdvapejuice","63.3705912","19.4247032166224","26.17","7.31665527713616","2535382.62661755","67000.8930374839","3626.7","633.6821933921"
"9","coloradoboulevard","42.3547848","3.22300692073076","15.1","1.10050493461461","2533984.20016502","147652.04620751","3825.9","367.561166489485"
"10","compresse","49.263588","3.54776306590618","27.8","3.70585122924995","2525136.21128345","50184.6088257917","2562","192.156764705857"
"11","cottagelife","63.0947736","1.92869683118359","29.1","1.19721899973786","2554066.77400707","61829.2496094603","4461.4","210.088446982588"
"12","denverite","36.6399144","2.79344456202617","15.2","0.632455532033676","2507988.95070531","103017.683472086","2383","419.906338762983"
"13","drivenxdesign","45.5030172","7.17286106676091","17.3056683606684","6.62931902912625","2519853.93766186","135121.949396848","5706.1","970.144027108003"
"14","fusion","64.378908","2.29119986312151","28.2","1.31656117720877","2555134.40230329","67018.0554124976","3918.8","248.323623971265"
"15","gildedserpent","54.4088412","3.45497503601262","29.1","1.59513148186739","2523903.54566406","46153.9669395504","3234.3","359.833310174463"
"16","greasyfork","47.0049588","0.956331021911553","28.7","0.823272602348565","2544040.80810277","48316.144500194","2195.8","92.4539525024936"
"17","greentechmedia","64.561212","3.81927103868998","30","2.70801280154532","2530032.42237272","66572.1738359583","4299.4","324.150925067664"
"18","hagley","66.4711236","2.76167298136503","27.4","1.71269767715535","2576136.4488889","69472.00484889","4180.4","348.101262406342"
"19","hcss","63.213624","4.86789782500496","28.8","1.22927259430572","2541968.02728731","58292.8836961172","4160.4","606.930382242386"
"20","heinlein","28.5581376","1.39715894565278","15.4","0.699205898780101","2454024.47545752","96668.2642679391","1493.6","121.236408172903"
"21","holifestival","49.123476","1.31042415219501","28.6","1.57762127549323","2514602.37569231","57147.4999593762","2481.2","95.6554000334302"
"22","iflyer","57.9454092","2.04012111382006","28.3","1.33749350984926","2549981.04730159","45924.3781941101","3431.3","76.0965030587988"
"23","iliketubes","53.6878512","6.73191108394328","29.6","2.45854518861144","2595471.05415246","51063.084804892","2851.3","762.920856533188"
"24","japassie","38.1524652","3.05713777602227","15.5","0.52704627669473","2496603.59453965","134978.124385661","3438","279.255756928622"
"25","kasteelhoensbroek","38.7232452","3.24751236143088","15.5","0.707106781186548","2477317.62089421","60752.7357570137","3340.3","162.454814230501"
"26","kenengba","57.84579","2.1831946951951","27.6","3.68781778291716","2539526.26433119","65978.3816817813","4442.9","201.820299606688"
"27","kpoe","31.8908484","2.49439690979956","15","1.88561808316413","2538951.95802718","99843.0142078699","1584.5","114.491387351965"
"28","legalaidnc","55.1101068","1.92855824752441","27.6","3.20416395751944","2548048.17361006","74357.2430237534","3111.1","151.071322376037"
"29","lekhafoods","57.2433156","2.21596154474973","28.2","1.68654808542314","2535462.35872809","62154.7084670895","3316.5","203.324180121849"
"30","magnetadservices","34.0584156","3.32421436323015","15.2","1.47572957474524","2501671.14183136","109230.079858718","2162","144.235917856822"
"31","marketlii","36.3685392","3.63865214002856","14.3","1.88856206322871","2558602.61712911","157559.518932392","2091.9","371.440873117408"
"32","megatorrentshd","32.748642","4.71599676440347","14.5","1.35400640077266","2415528.19611689","38739.1859437832","1790","199.524991472803"
"33","mrob","49.0503888","2.30191484606499","29","1.69967317119759","2500139.74048359","53552.6580487229","2246.8","183.472553200139"
"34","nflpenalties","37.3625928","3.1002729096656","15.4","0.699205898780101","2511655.9138562","136916.508094163","2625.4","133.998507454374"
"35","pieterhugo","33.35535","2.39207494609178","15.8","1.22927259430572","2504079.92408443","92491.4438560925","2593.5","357.509984320563"
"36","porn5f","35.4041532","1.69731279275872","15.2","0.788810637746616","2456890.17671","36341.9420110353","2739.5","289.890496567238"
"37","quechua","60.4302588","2.26985249462215","28.5","1.58113883008419","2568927.15568426","63465.5513693852","3488.1","81.44998465316"
"38","renesia","35.122662","1.53958967793111","15.5","0.52704627669473","2537517.53883716","79948.0649947768","2790.3","112.090290986032"
"39","sciencebeta","44.9692848","1.4544699204777","29.1","1.72884033065199","2526758.84189723","62364.8835041333","2135.2","60.2693952184689"
"40","spansh","38.9318976","2.73244630312283","15.4","0.699205898780101","2504138.97008175","101234.301233534","3652","357.667132649588"
"41","sportravel","67.9513248","2.34672338282431","28.7","1.25166555703457","2568861.64476461","59520.1387482252","5953.6","165.238010155049"
"42","swimply","43.8998292","4.44489852619904","18.8881225456225","3.20023856626466","2543129.0362168","107678.69075877","5443.1","849.856386560563"
"43","telfer","54.087246","2.33115716191423","28.8","0.918936583472681","2561048.49998449","66045.008614329","3004.1","153.646383332349"
"44","ubersocial","46.5152148","2.45291516718178","26.8","2.89827534923789","2540598.06337211","86814.5271194502","2160.8","112.149503392173"
"45","velovita","64.9261908","6.19813070859387","28","2.78886675511359","2547661.99074265","51917.3033258498","5909.7","2036.00829784382"
"46","vergecampus","36.2650968","4.37985212534378","15.94","2.1375999001996","2527529.23998175","105771.828732419","3281.6","2748.79331909678"
"47","visit","31.3572924","1.7379285476226","15.6","0.699205898780101","2497368.816663","88303.7374577998","1488.1","343.429905512027"
"48","worldlink","42.70239","6.77416037514141","14.6","1.42984070596848","2518145.96307673","105901.957583181","3038.9","422.171489642144"
"49","xobor","33.5798388","1.94450941518482","15.8","0.421637021355784","2464297.96331639","61204.8911374655","2031.1","113.998489268742"
"50","zuver","60.525648","9.13237265964984","20.8087424585219","6.63892964361971","2463287.30570089","49122.5734810134","14562.2","5660.51408737169"
