Time  [ms],Memory Usage [KB]
0,2436180
102,2444900
152,2460204
252,2468196
352,2467804
453,2472704
553,2473596
653,2487848
754,2495828
856,2498920
957,2498688
1057,2500016
1158,2501504
1258,2502016
1358,2502060
1459,2502060
1559,2503308
1660,2503308
1760,2502888
1861,2508292
1961,2503588
2062,2503004
2162,2504684
2263,2507072
2363,2508236
2464,2515636
2566,2518584
2665,2520664
2766,2532388
2866,2536280
2967,2542272
3068,2544044
3167,2544540
3269,2545000
3369,2539020
3470,2540668
