Time  [ms],Memory Usage [KB]
0,2416396
100,2420236
201,2428664
302,2431076
403,2448276
502,2459944
603,2460744
709,2464064
803,2484420
903,2484984
1004,2484748
1104,2490144
1205,2478720
1305,2481616
1405,2479284
1507,2479720
1606,2480472
1707,2480880
1808,2481456
1908,2481664
2008,2481120
2108,2478168
2209,2478408
2310,2480160
2409,2481240
2510,2482292
2610,2483416
2710,2492832
2811,2493140
2911,2494224
3012,2500764
3113,2507584
3213,2507484
3314,2508328
3414,2509388
3515,2509724
3615,2508724
3715,2515896
3815,2518780
3916,2518780
4017,2519604
