Time  [ms],Memory Usage [KB]
0,2694300
106,2701836
207,2708960
308,2725556
408,2734020
508,2736800
608,2737504
710,2741176
810,2761428
910,2761840
1011,2761292
1115,2766300
1212,2767560
1313,2769500
1413,2772752
1514,2769284
1615,2770004
1715,2768864
1817,2769632
1917,2768808
2018,2769112
2118,2769488
2219,2770296
2319,2771864
2426,2771328
2520,2771748
2621,2773812
2722,2782364
2822,2785872
2923,2787776
3023,2792384
3123,2795680
3224,2799196
3326,2808100
3425,2798992
3526,2800156
3626,2800232
3727,2800584
3828,2802016
3929,2801472
4028,2799776
4130,2800200
4229,2799208
4330,2798712
4430,2801756
4531,2803328
4632,2804104
4734,2804788
4834,2806000
