datetime,cpu
Fri Oct 16 20:18:09 GMT 2020,16
Fri Oct 16 20:18:09 GMT 2020,16
Fri Oct 16 20:18:09 GMT 2020,16
Fri Oct 16 20:18:09 GMT 2020,16
Fri Oct 16 20:18:10 GMT 2020,16
Fri Oct 16 20:18:10 GMT 2020,16
Fri Oct 16 20:18:10 GMT 2020,16
Fri Oct 16 20:18:10 GMT 2020,16
Fri Oct 16 20:18:10 GMT 2020,16
Fri Oct 16 20:18:11 GMT 2020,16
Fri Oct 16 20:18:11 GMT 2020,16
Fri Oct 16 20:18:11 GMT 2020,16
Fri Oct 16 20:18:11 GMT 2020,16
Fri Oct 16 20:18:12 GMT 2020,16
Fri Oct 16 20:18:12 GMT 2020,16
Fri Oct 16 20:18:12 GMT 2020,16
Fri Oct 16 20:18:12 GMT 2020,16
Fri Oct 16 20:18:12 GMT 2020,16
