datetime,cpu
Fri Oct 16 21:34:55 GMT 2020,16
Fri Oct 16 21:34:55 GMT 2020,16
Fri Oct 16 21:34:55 GMT 2020,16
Fri Oct 16 21:34:56 GMT 2020,16
Fri Oct 16 21:34:56 GMT 2020,16
Fri Oct 16 21:34:56 GMT 2020,16
Fri Oct 16 21:34:56 GMT 2020,16
Fri Oct 16 21:34:56 GMT 2020,16
Fri Oct 16 21:34:57 GMT 2020,16
Fri Oct 16 21:34:57 GMT 2020,16
Fri Oct 16 21:34:57 GMT 2020,16
Fri Oct 16 21:34:57 GMT 2020,16
Fri Oct 16 21:34:58 GMT 2020,16
Fri Oct 16 21:34:58 GMT 2020,16
Fri Oct 16 21:34:58 GMT 2020,16
Fri Oct 16 21:34:58 GMT 2020,16
Fri Oct 16 21:34:58 GMT 2020,16
Fri Oct 16 21:34:59 GMT 2020,16
Fri Oct 16 21:34:59 GMT 2020,16
Fri Oct 16 21:34:59 GMT 2020,16
Fri Oct 16 21:34:59 GMT 2020,16
Fri Oct 16 21:34:59 GMT 2020,46
Fri Oct 16 21:35:00 GMT 2020,46
Fri Oct 16 21:35:00 GMT 2020,46
