Time  [ms],Memory Usage [KB]
0,2610552
101,2617004
201,2631736
302,2642332
402,2659948
503,2658804
602,2661648
703,2664128
804,2681836
904,2683472
1006,2683756
1105,2684316
1205,2682804
1306,2683252
1406,2683164
1507,2682460
1607,2683264
1707,2683164
1808,2687960
1908,2676312
2008,2677160
2110,2677352
2209,2677644
2310,2678292
2411,2678372
2510,2679204
2610,2679468
2711,2681320
2811,2689044
2911,2689576
3012,2691396
3112,2692600
3212,2694176
3313,2693300
3414,2696324
3515,2696688
3615,2698000
3716,2699232
3816,2700564
3917,2701308
4017,2708932
4117,2711320
4217,2713524
4318,2715420
4422,2717216
4522,2718204
4622,2719140
4722,2719288
4823,2724656
4923,2731156
5023,2731024
5124,2725652
5225,2727756
5325,2729112
5425,2726416
5525,2726948
5626,2728752
