datetime,cpu
Sat Oct 17 18:46:30 GMT 2020,15
Sat Oct 17 18:46:30 GMT 2020,15
Sat Oct 17 18:46:30 GMT 2020,15
Sat Oct 17 18:46:30 GMT 2020,15
Sat Oct 17 18:46:30 GMT 2020,15
Sat Oct 17 18:46:31 GMT 2020,15
Sat Oct 17 18:46:31 GMT 2020,15
Sat Oct 17 18:46:31 GMT 2020,15
Sat Oct 17 18:46:31 GMT 2020,15
Sat Oct 17 18:46:32 GMT 2020,15
Sat Oct 17 18:46:32 GMT 2020,15
Sat Oct 17 18:46:32 GMT 2020,15
Sat Oct 17 18:46:32 GMT 2020,15
Sat Oct 17 18:46:32 GMT 2020,15
Sat Oct 17 18:46:33 GMT 2020,15
Sat Oct 17 18:46:33 GMT 2020,15
Sat Oct 17 18:46:33 GMT 2020,15
