Time  [ms],Memory Usage [KB]
0,2595588
51,2593156
153,2597540
252,2611392
352,2615460
453,2622252
554,2637752
655,2640732
756,2660196
859,2663084
957,2662980
1057,2663332
1158,2660944
1259,2663700
1359,2655028
1459,2655376
1560,2656752
1661,2656556
1760,2657056
1861,2657620
1961,2656560
2062,2656212
2163,2654276
2263,2656984
2363,2658648
2464,2661148
2565,2663968
2664,2680168
2765,2681428
2865,2685304
2966,2693460
3067,2707460
3167,2707240
3268,2709160
3367,2709016
