Time  [ms],Memory Usage [KB]
0,2462960
51,2464100
151,2471088
251,2479100
352,2498424
453,2498656
554,2503568
654,2505628
754,2526928
855,2525720
955,2526212
1056,2526312
1156,2525920
1257,2526252
1357,2524684
1457,2525644
1558,2527016
1658,2526880
1759,2526956
1859,2529792
1960,2531656
2060,2533424
2160,2539148
2261,2539876
2361,2540172
2462,2543172
2563,2543916
2664,2556708
2763,2557912
2864,2583528
2964,2589088
3065,2601176
3165,2601692
3266,2602532
3366,2604296
3466,2597612
