datetime,cpu
Fri Oct 16 19:35:59 GMT 2020,15
Fri Oct 16 19:35:59 GMT 2020,15
Fri Oct 16 19:36:00 GMT 2020,15
Fri Oct 16 19:36:00 GMT 2020,15
Fri Oct 16 19:36:00 GMT 2020,15
Fri Oct 16 19:36:00 GMT 2020,15
Fri Oct 16 19:36:01 GMT 2020,15
Fri Oct 16 19:36:01 GMT 2020,15
Fri Oct 16 19:36:01 GMT 2020,15
Fri Oct 16 19:36:01 GMT 2020,15
Fri Oct 16 19:36:01 GMT 2020,15
Fri Oct 16 19:36:02 GMT 2020,15
Fri Oct 16 19:36:02 GMT 2020,15
Fri Oct 16 19:36:02 GMT 2020,15
Fri Oct 16 19:36:02 GMT 2020,15
