datetime,cpu
Sat Oct 17 03:07:54 GMT 2020,16
Sat Oct 17 03:07:54 GMT 2020,16
Sat Oct 17 03:07:54 GMT 2020,16
Sat Oct 17 03:07:54 GMT 2020,16
Sat Oct 17 03:07:54 GMT 2020,16
Sat Oct 17 03:07:55 GMT 2020,16
Sat Oct 17 03:07:55 GMT 2020,16
Sat Oct 17 03:07:55 GMT 2020,16
Sat Oct 17 03:07:55 GMT 2020,16
Sat Oct 17 03:07:56 GMT 2020,16
Sat Oct 17 03:07:56 GMT 2020,16
Sat Oct 17 03:07:56 GMT 2020,16
Sat Oct 17 03:07:56 GMT 2020,16
Sat Oct 17 03:07:56 GMT 2020,16
Sat Oct 17 03:07:57 GMT 2020,16
Sat Oct 17 03:07:57 GMT 2020,16
Sat Oct 17 03:07:57 GMT 2020,16
