datetime,cpu
Sat Oct 17 06:45:23 GMT 2020,15
Sat Oct 17 06:45:23 GMT 2020,15
Sat Oct 17 06:45:23 GMT 2020,15
Sat Oct 17 06:45:23 GMT 2020,15
Sat Oct 17 06:45:24 GMT 2020,15
Sat Oct 17 06:45:24 GMT 2020,15
Sat Oct 17 06:45:24 GMT 2020,15
Sat Oct 17 06:45:24 GMT 2020,15
Sat Oct 17 06:45:24 GMT 2020,15
Sat Oct 17 06:45:25 GMT 2020,15
Sat Oct 17 06:45:25 GMT 2020,15
Sat Oct 17 06:45:25 GMT 2020,15
Sat Oct 17 06:45:25 GMT 2020,15
Sat Oct 17 06:45:26 GMT 2020,15
Sat Oct 17 06:45:26 GMT 2020,15
Sat Oct 17 06:45:26 GMT 2020,15
Sat Oct 17 06:45:26 GMT 2020,15
Sat Oct 17 06:45:27 GMT 2020,15
