Time  [ms],Memory Usage [KB]
0,2339068
101,2342048
201,2351136
302,2375920
403,2379564
503,2381936
603,2381952
704,2383080
804,2398764
908,2403632
1008,2394488
1109,2394012
1209,2394712
1309,2395044
1410,2397620
1511,2400896
1611,2405312
1711,2406864
1812,2412456
1912,2414332
2015,2417188
2113,2420332
2213,2422180
2314,2423060
2414,2424196
2514,2425888
2615,2426128
2715,2435876
2815,2437540
2916,2439804
3017,2441580
3117,2441748
3217,2446184
3317,2452812
3418,2452244
3518,2457088
3620,2439708
3721,2445168
