Time  [ms],Memory Usage [KB]
0,2428680
102,2436244
201,2440608
251,2448632
352,2466916
452,2464864
552,2468588
653,2488584
753,2490660
853,2491180
954,2492296
1054,2496048
1154,2499544
1255,2502116
1356,2504912
1457,2504256
1557,2503644
1657,2503868
1758,2505116
1858,2505984
1959,2506680
2059,2508068
2159,2510104
2260,2510748
2360,2510280
2461,2515304
2563,2515908
2662,2516656
2762,2516676
2863,2517268
2963,2517980
3063,2518156
3164,2518224
3264,2521580
3365,2527976
3465,2534716
3566,2535516
3666,2537036
3766,2537828
3869,2538368
3969,2538636
4068,2540888
4168,2543720
4269,2544676
4370,2532420
4471,2537088
4571,2533440
