datetime,cpu
Sat Oct 17 11:19:10 GMT 2020,13
Sat Oct 17 11:19:11 GMT 2020,13
Sat Oct 17 11:19:11 GMT 2020,13
Sat Oct 17 11:19:11 GMT 2020,13
Sat Oct 17 11:19:11 GMT 2020,13
Sat Oct 17 11:19:11 GMT 2020,13
Sat Oct 17 11:19:12 GMT 2020,13
Sat Oct 17 11:19:12 GMT 2020,13
Sat Oct 17 11:19:12 GMT 2020,13
Sat Oct 17 11:19:12 GMT 2020,13
Sat Oct 17 11:19:13 GMT 2020,13
Sat Oct 17 11:19:13 GMT 2020,13
Sat Oct 17 11:19:13 GMT 2020,13
Sat Oct 17 11:19:13 GMT 2020,13
Sat Oct 17 11:19:14 GMT 2020,13
Sat Oct 17 11:19:14 GMT 2020,13
Sat Oct 17 11:19:14 GMT 2020,13
Sat Oct 17 11:19:14 GMT 2020,13
Sat Oct 17 11:19:14 GMT 2020,13
Sat Oct 17 11:19:15 GMT 2020,13
Sat Oct 17 11:19:15 GMT 2020,27
Sat Oct 17 11:19:15 GMT 2020,27
Sat Oct 17 11:19:15 GMT 2020,27
Sat Oct 17 11:19:16 GMT 2020,27
Sat Oct 17 11:19:16 GMT 2020,27
Sat Oct 17 11:19:16 GMT 2020,27
Sat Oct 17 11:19:16 GMT 2020,27
Sat Oct 17 11:19:16 GMT 2020,27
Sat Oct 17 11:19:17 GMT 2020,27
Sat Oct 17 11:19:17 GMT 2020,27
Sat Oct 17 11:19:17 GMT 2020,27
Sat Oct 17 11:19:17 GMT 2020,27
Sat Oct 17 11:19:18 GMT 2020,27
Sat Oct 17 11:19:18 GMT 2020,27
Sat Oct 17 11:19:18 GMT 2020,27
Sat Oct 17 11:19:18 GMT 2020,27
Sat Oct 17 11:19:19 GMT 2020,27
Sat Oct 17 11:19:19 GMT 2020,27
Sat Oct 17 11:19:19 GMT 2020,27
Sat Oct 17 11:19:19 GMT 2020,27
Sat Oct 17 11:19:20 GMT 2020,27
Sat Oct 17 11:19:20 GMT 2020,27
Sat Oct 17 11:19:20 GMT 2020,27
Sat Oct 17 11:19:20 GMT 2020,27
Sat Oct 17 11:19:20 GMT 2020,27
Sat Oct 17 11:19:21 GMT 2020,27
Sat Oct 17 11:19:21 GMT 2020,27
Sat Oct 17 11:19:21 GMT 2020,27
Sat Oct 17 11:19:21 GMT 2020,27
Sat Oct 17 11:19:22 GMT 2020,27
