Time  [ms],Memory Usage [KB]
0,2349096
102,2352528
202,2351676
302,2357128
403,2364104
503,2370072
605,2387532
704,2392084
806,2407784
905,2411160
1005,2411060
1106,2411932
1206,2412996
1307,2413928
1407,2415568
1508,2414076
1609,2415160
1709,2415368
1809,2415408
1909,2412388
2010,2413656
2110,2413660
2211,2412440
2311,2411212
2411,2411224
2511,2413948
2612,2415644
2714,2422020
2813,2422676
2914,2424076
3014,2427536
3114,2431824
3215,2433664
3315,2433680
3501,2437960
3602,2438124
3702,2439584
3803,2440856
3903,2442632
3953,2445324
4055,2449812
4154,2462252
