datetime,cpu
Sat Oct 17 06:22:03 GMT 2020,16
Sat Oct 17 06:22:03 GMT 2020,16
Sat Oct 17 06:22:04 GMT 2020,16
Sat Oct 17 06:22:04 GMT 2020,16
Sat Oct 17 06:22:04 GMT 2020,16
Sat Oct 17 06:22:04 GMT 2020,16
Sat Oct 17 06:22:05 GMT 2020,16
Sat Oct 17 06:22:05 GMT 2020,16
Sat Oct 17 06:22:05 GMT 2020,16
Sat Oct 17 06:22:05 GMT 2020,16
Sat Oct 17 06:22:06 GMT 2020,16
Sat Oct 17 06:22:06 GMT 2020,16
Sat Oct 17 06:22:06 GMT 2020,16
Sat Oct 17 06:22:06 GMT 2020,16
Sat Oct 17 06:22:06 GMT 2020,16
Sat Oct 17 06:22:07 GMT 2020,16
Sat Oct 17 06:22:07 GMT 2020,16
Sat Oct 17 06:22:07 GMT 2020,16
Sat Oct 17 06:22:07 GMT 2020,16
Sat Oct 17 06:22:08 GMT 2020,16
Sat Oct 17 06:22:08 GMT 2020,16
Sat Oct 17 06:22:08 GMT 2020,16
Sat Oct 17 06:22:08 GMT 2020,16
Sat Oct 17 06:22:08 GMT 2020,16
Sat Oct 17 06:22:09 GMT 2020,16
Sat Oct 17 06:22:09 GMT 2020,16
Sat Oct 17 06:22:09 GMT 2020,16
Sat Oct 17 06:22:09 GMT 2020,16
Sat Oct 17 06:22:10 GMT 2020,16
Sat Oct 17 06:22:10 GMT 2020,16
Sat Oct 17 06:22:10 GMT 2020,16
Sat Oct 17 06:22:10 GMT 2020,16
Sat Oct 17 06:22:10 GMT 2020,16
Sat Oct 17 06:22:11 GMT 2020,16
Sat Oct 17 06:22:11 GMT 2020,16
Sat Oct 17 06:22:11 GMT 2020,16
Sat Oct 17 06:22:11 GMT 2020,16
Sat Oct 17 06:22:11 GMT 2020,16
