Time  [ms],Memory Usage [KB]
0,2390912
99,2395968
200,2401896
299,2424168
400,2431304
501,2434192
601,2437160
652,2437320
753,2438716
853,2456788
954,2443892
1055,2443692
1155,2443044
1255,2442868
1355,2446000
1456,2445224
1557,2445560
1657,2444272
1758,2442504
1858,2442964
1958,2442964
2059,2443672
2161,2443672
2261,2443496
2361,2443736
2461,2443736
2561,2444780
2661,2452404
2762,2457888
2863,2458136
2963,2458700
3063,2459424
3165,2459424
3264,2460236
3365,2460788
3467,2467364
3566,2462116
3667,2462752
3767,2461128
3867,2462032
3968,2462132
4070,2462640
4170,2462944
4272,2462856
4371,2464740
4471,2467800
4572,2475196
4672,2473744
4773,2473020
4873,2475812
4973,2477100
5074,2470768
5175,2471080
5275,2471716
5375,2470392
5476,2469904
5576,2469784
5680,2470224
5779,2470004
5880,2470004
5979,2470936
6080,2467188
6180,2473852
6280,2482384
6381,2479116
6481,2472448
6581,2475352
6682,2474868
6783,2475928
6882,2476028
6986,2476752
7083,2477324
7184,2461832
7284,2461016
7385,2461344
7485,2456384
7586,2456384
7686,2457016
7788,2457300
7888,2458644
7988,2458664
8088,2458780
8189,2459028
8289,2459788
8389,2460368
8490,2460220
8594,2460336
8692,2460336
8792,2461468
8892,2461160
8993,2461160
9092,2462132
9193,2461936
9294,2462388
9394,2461472
9494,2461736
9595,2462264
9696,2462716
9796,2463208
9896,2463156
9997,2463264
10097,2457820
10200,2458644
10298,2459320
10399,2458960
10499,2459060
10599,2458808
10702,2459552
10800,2461188
10901,2461188
11001,2461776
11103,2461188
11202,2461492
11303,2464728
11404,2462180
11504,2463804
11604,2470652
11705,2482984
11805,2492904
11905,2495672
12006,2497256
12107,2497732
12206,2507044
12307,2509312
12410,2510108
12509,2511912
12608,2520656
12708,2521000
12808,2522644
12909,2521448
13011,2521752
13110,2523380
13210,2518292
13311,2518488
13410,2522380
13511,2533800
13611,2531800
13712,2532932
13812,2533924
13914,2537072
14014,2533636
14115,2536156
14215,2552780
14315,2557200
14416,2558828
14516,2560136
14616,2563080
14718,2564632
14818,2561944
14918,2560068
15019,2560312
15119,2549976
15219,2551752
15319,2553684
15420,2550580
15520,2545352
