datetime,cpu
Sat Oct 17 15:17:29 GMT 2020,15
Sat Oct 17 15:17:29 GMT 2020,15
Sat Oct 17 15:17:29 GMT 2020,15
Sat Oct 17 15:17:30 GMT 2020,15
Sat Oct 17 15:17:30 GMT 2020,15
Sat Oct 17 15:17:30 GMT 2020,15
Sat Oct 17 15:17:30 GMT 2020,15
Sat Oct 17 15:17:30 GMT 2020,15
Sat Oct 17 15:17:31 GMT 2020,15
Sat Oct 17 15:17:31 GMT 2020,15
Sat Oct 17 15:17:31 GMT 2020,15
Sat Oct 17 15:17:31 GMT 2020,15
Sat Oct 17 15:17:32 GMT 2020,15
Sat Oct 17 15:17:32 GMT 2020,15
Sat Oct 17 15:17:32 GMT 2020,15
Sat Oct 17 15:17:32 GMT 2020,15
Sat Oct 17 15:17:32 GMT 2020,15
Sat Oct 17 15:17:33 GMT 2020,15
Sat Oct 17 15:17:33 GMT 2020,15
Sat Oct 17 15:17:33 GMT 2020,15
