Time  [ms],Memory Usage [KB]
0,2556060
102,2563076
202,2572204
303,2584188
409,2590820
508,2597632
609,2601272
711,2604032
812,2622900
912,2623496
1013,2622716
1113,2623076
1213,2623572
1315,2623156
1416,2621060
1516,2623064
1617,2625096
1718,2627160
1819,2627828
1919,2627636
2020,2629180
2120,2628204
2221,2628888
2321,2635528
2422,2632352
2522,2632716
2622,2642824
2723,2631512
2824,2632312
2925,2638948
3025,2643848
3126,2643108
3226,2644216
3326,2649232
3428,2650976
3527,2660448
3628,2660804
3728,2657196
3828,2657528
