datetime,cpu
Sat Oct 17 05:37:31 GMT 2020,16
Sat Oct 17 05:37:31 GMT 2020,16
Sat Oct 17 05:37:31 GMT 2020,16
Sat Oct 17 05:37:31 GMT 2020,16
Sat Oct 17 05:37:31 GMT 2020,16
Sat Oct 17 05:37:32 GMT 2020,16
Sat Oct 17 05:37:32 GMT 2020,16
Sat Oct 17 05:37:32 GMT 2020,16
Sat Oct 17 05:37:32 GMT 2020,16
Sat Oct 17 05:37:32 GMT 2020,16
Sat Oct 17 05:37:33 GMT 2020,16
Sat Oct 17 05:37:33 GMT 2020,16
Sat Oct 17 05:37:33 GMT 2020,16
Sat Oct 17 05:37:33 GMT 2020,16
Sat Oct 17 05:37:34 GMT 2020,16
Sat Oct 17 05:37:34 GMT 2020,16
Sat Oct 17 05:37:34 GMT 2020,16
Sat Oct 17 05:37:34 GMT 2020,16
Sat Oct 17 05:37:34 GMT 2020,16
Sat Oct 17 05:37:35 GMT 2020,16
Sat Oct 17 05:37:35 GMT 2020,16
Sat Oct 17 05:37:35 GMT 2020,43
Sat Oct 17 05:37:35 GMT 2020,43
Sat Oct 17 05:37:36 GMT 2020,43
Sat Oct 17 05:37:36 GMT 2020,43
Sat Oct 17 05:37:36 GMT 2020,43
Sat Oct 17 05:37:36 GMT 2020,43
Sat Oct 17 05:37:37 GMT 2020,43
Sat Oct 17 05:37:37 GMT 2020,43
Sat Oct 17 05:37:37 GMT 2020,43
Sat Oct 17 05:37:37 GMT 2020,43
Sat Oct 17 05:37:37 GMT 2020,43
Sat Oct 17 05:37:38 GMT 2020,43
