Time  [ms],Memory Usage [KB]
0,2492392
101,2499712
201,2508136
302,2511716
403,2522676
503,2520644
603,2524560
704,2529376
805,2547908
905,2549624
1006,2547464
1106,2548952
1206,2557836
1307,2629496
1407,2720560
1507,2725780
1608,2723328
1708,2723576
1808,2724020
1909,2724228
2010,2724780
2110,2724004
2210,2724504
2310,2645612
2411,2644632
2511,2685556
2611,2736864
2712,2738776
2813,2693692
2913,2660572
3013,2660428
3114,2661616
3214,2661012
3315,2663144
3415,2664848
3515,2707764
3616,2748324
3718,2746632
3818,2816776
3917,2794348
4017,2794660
4118,2794460
4219,2725152
4318,2725600
4419,2727036
4519,2727536
4620,2580132
4720,2580816
4820,2581548
4921,2575196
5020,2575420
5121,2577160
5221,2578900
5321,2579552
5422,2579856
5522,2580524
5622,2580740
5723,2581192
5825,2571164
5924,2571476
6025,2567496
6126,2568464
6229,2577632
6326,2593296
6426,2590084
6526,2585108
6628,2573036
6727,2577692
6827,2571588
6928,2572804
7028,2573372
