datetime,cpu
Sat Oct 17 05:51:37 GMT 2020,16
Sat Oct 17 05:51:37 GMT 2020,16
Sat Oct 17 05:51:37 GMT 2020,16
Sat Oct 17 05:51:37 GMT 2020,16
Sat Oct 17 05:51:38 GMT 2020,16
Sat Oct 17 05:51:38 GMT 2020,16
Sat Oct 17 05:51:38 GMT 2020,16
Sat Oct 17 05:51:38 GMT 2020,16
Sat Oct 17 05:51:38 GMT 2020,16
Sat Oct 17 05:51:39 GMT 2020,16
Sat Oct 17 05:51:39 GMT 2020,16
Sat Oct 17 05:51:39 GMT 2020,16
Sat Oct 17 05:51:39 GMT 2020,16
Sat Oct 17 05:51:40 GMT 2020,16
Sat Oct 17 05:51:40 GMT 2020,16
