Time  [ms],Memory Usage [KB]
0,2400304
101,2404556
201,2411860
302,2423516
403,2441248
503,2441816
604,2443784
704,2464740
804,2468116
905,2469716
1006,2474488
1106,2465312
1206,2469628
1307,2471444
1407,2480052
1507,2482984
1608,2484884
1708,2487032
1809,2493272
1909,2492924
2010,2493664
2110,2493272
2211,2493684
2311,2495212
2411,2496988
2512,2500376
2612,2502004
2712,2503512
2813,2505964
2913,2505964
3014,2506980
3118,2511780
3215,2515096
3315,2517636
3417,2518144
