datetime,cpu
Sat Oct 17 06:59:22 GMT 2020,15
Sat Oct 17 06:59:23 GMT 2020,15
Sat Oct 17 06:59:23 GMT 2020,15
Sat Oct 17 06:59:23 GMT 2020,15
Sat Oct 17 06:59:23 GMT 2020,15
Sat Oct 17 06:59:23 GMT 2020,15
Sat Oct 17 06:59:24 GMT 2020,15
Sat Oct 17 06:59:24 GMT 2020,15
Sat Oct 17 06:59:24 GMT 2020,15
Sat Oct 17 06:59:24 GMT 2020,15
Sat Oct 17 06:59:24 GMT 2020,15
Sat Oct 17 06:59:25 GMT 2020,15
Sat Oct 17 06:59:25 GMT 2020,15
Sat Oct 17 06:59:25 GMT 2020,15
Sat Oct 17 06:59:25 GMT 2020,15
Sat Oct 17 06:59:26 GMT 2020,15
Sat Oct 17 06:59:26 GMT 2020,15
Sat Oct 17 06:59:26 GMT 2020,15
Sat Oct 17 06:59:26 GMT 2020,15
Sat Oct 17 06:59:27 GMT 2020,15
Sat Oct 17 06:59:27 GMT 2020,15
Sat Oct 17 06:59:27 GMT 2020,45
Sat Oct 17 06:59:27 GMT 2020,45
Sat Oct 17 06:59:27 GMT 2020,45
Sat Oct 17 06:59:28 GMT 2020,45
