Time  [ms],Memory Usage [KB]
0,2404264
99,2414080
203,2416612
255,2419344
357,2431904
456,2445508
556,2446616
657,2449164
757,2471352
857,2474072
958,2475736
1059,2479476
1159,2482812
1259,2486708
1360,2482684
1460,2489664
1560,2495108
1661,2494992
1761,2495948
1861,2496328
1961,2496764
2062,2497304
2163,2497904
2263,2497192
2363,2497640
2464,2500260
2564,2505888
2666,2509444
2765,2511352
2865,2512336
2966,2513696
3067,2513652
3167,2512888
3267,2513384
3368,2518152
3468,2522100
3570,2524624
3669,2527100
3769,2528952
3869,2533304
3970,2529664
4070,2529360
4171,2527800
4271,2527580
4371,2534188
4472,2541968
4572,2542048
4673,2541648
4773,2542004
4873,2536712
