Time  [ms],Memory Usage [KB]
0,2359308
102,2361908
202,2370064
302,2372312
402,2375280
507,2390844
608,2398948
708,2419204
808,2424744
911,2428764
1009,2429444
1109,2431664
1209,2434960
1310,2423316
1410,2428232
1511,2431136
1611,2432156
1712,2431764
1812,2431788
1913,2431788
2013,2431692
2113,2431980
2214,2432916
2315,2434188
2415,2431188
2515,2434192
2615,2435040
2716,2435472
2816,2437880
2916,2450392
3017,2457208
3117,2457820
3217,2457936
3319,2456364
3418,2458972
3520,2458252
3619,2459792
3719,2460012
3819,2460276
3921,2461300
4020,2462744
4121,2463796
4221,2463324
4322,2465308
4425,2465100
4522,2464708
4623,2466804
4725,2464076
4825,2459192
4926,2461136
5026,2461820
5128,2461820
5227,2461812
5327,2461400
5428,2463076
5528,2476008
5630,2476940
5729,2477264
5830,2475584
5930,2482252
6032,2482672
6132,2487792
6232,2488616
6332,2490700
6434,2489424
6534,2497192
6636,2497492
6735,2497252
6836,2497252
6936,2495440
7038,2496540
7138,2481032
7238,2481112
7339,2481760
7439,2482112
7540,2490440
7640,2493228
7742,2492788
