Time  [ms],Memory Usage [KB]
0,2534596
101,2538264
201,2545024
302,2551964
402,2552304
504,2578928
604,2578080
704,2577608
804,2599984
906,2601252
1005,2599632
1106,2600184
1206,2599508
1307,2599312
1407,2598684
1509,2598684
1608,2599072
1708,2599072
1809,2597036
1909,2596540
2011,2596900
2110,2596640
2212,2596640
2311,2597764
2413,2597176
2514,2597724
2613,2597468
2715,2599468
2813,2605932
2915,2606140
3014,2606408
3115,2606016
3215,2606068
3316,2605932
3417,2605968
3517,2606580
3620,2606580
3719,2606628
3821,2606944
3920,2606944
4020,2607104
4122,2607200
4221,2607312
4322,2606220
4422,2606516
4522,2606924
4623,2606728
4723,2607668
4824,2607316
4924,2603220
5024,2603104
5125,2602712
5225,2602452
5328,2602256
5426,2602852
5528,2602504
5627,2603212
5728,2603376
5830,2603200
5929,2603972
6029,2592652
6129,2591336
6230,2592020
6331,2592244
6431,2598640
6531,2595596
6631,2590592
6732,2590260
6832,2591836
6933,2591632
7033,2591436
7133,2576920
7233,2576564
7334,2575836
7436,2575444
7536,2575932
7637,2575420
7737,2575596
7837,2575672
7937,2575672
8039,2575476
8139,2574628
8240,2574832
8340,2575432
8441,2575432
8541,2575804
8642,2575432
8742,2575248
8842,2575012
8944,2575232
9043,2575772
9144,2575536
9244,2575340
9344,2575176
9446,2575176
9546,2575204
9647,2575340
9746,2575400
9847,2575392
9948,2575000
10048,2574980
10152,2574980
10250,2574784
10351,2574520
10453,2574740
10553,2575276
10655,2575276
10754,2575672
10854,2575572
10955,2575424
11055,2575784
11159,2575784
11259,2575868
11360,2576268
11459,2576548
11560,2576532
11662,2575944
11762,2575628
11861,2576104
11963,2576104
12062,2576712
12164,2575928
12264,2575928
12364,2576504
12465,2576504
12565,2577284
12665,2576732
12766,2576296
12866,2576644
12968,2576892
13067,2576892
13168,2575452
13268,2575732
13369,2576280
13470,2576280
13570,2576976
13672,2576488
13771,2576304
13871,2575724
13973,2575924
14072,2576368
14174,2576368
14274,2576256
14374,2577088
14475,2577088
14575,2576968
14677,2576968
14776,2577296
14877,2576792
14977,2576792
15077,2577244
15179,2577244
15279,2577244
15379,2577140
15479,2577140
15580,2576920
15682,2576920
15781,2577708
15882,2577172
15982,2576976
16082,2577260
16184,2577260
16285,2577064
16384,2577616
16485,2577616
16585,2577780
16687,2578028
16786,2578416
16890,2577864
16987,2578320
17088,2578248
17190,2578052
17288,2577668
17390,2577640
17490,2577444
17590,2577536
17694,2577536
17791,2578216
17892,2577892
17993,2577892
18093,2578060
18195,2578060
18296,2578544
18394,2578348
18496,2578152
18596,2578012
18698,2578012
18798,2578536
18897,2578360
18998,2578360
19098,2578668
19200,2578668
19300,2578492
19401,2578500
19500,2578500
19600,2578988
19701,2580580
19802,2582500
19904,2581716
20004,2581736
20103,2582724
20205,2582724
20304,2582480
20407,2582480
20506,2582512
20607,2582828
20707,2582828
20807,2582452
20910,2582452
20959,2582452
21059,2582612
21160,2582024
21260,2582156
21360,2582604
21461,2582604
21561,2582408
21664,2582280
21762,2582560
21862,2582636
21963,2582852
22063,2582836
22165,2582836
22264,2582640
22364,2582576
22467,2582576
22565,2582816
22667,2582816
22767,2582592
22867,2583176
22968,2582980
23068,2582876
23171,2582876
23269,2583344
23370,2582360
23471,2582820
23571,2582932
23673,2583132
23772,2583096
23874,2583016
23973,2583572
24074,2582592
24176,2582592
24275,2583116
24376,2581940
24477,2582596
24576,2583212
24676,2583276
24777,2582904
24879,2582904
24977,2583252
25078,2583252
25178,2583188
25279,2582796
25379,2582600
25480,2582880
25580,2582908
25680,2583632
25781,2583244
25881,2582572
25982,2582572
26082,2582640
26182,2582640
26283,2583288
26383,2582812
26484,2583368
26584,2583036
26684,2583124
26785,2582460
26885,2582704
26985,2583028
27089,2583028
27187,2583560
27288,2583168
27388,2583484
27488,2583192
27589,2582996
27690,2583084
27791,2582932
27891,2583468
27993,2583184
28094,2583424
28194,2583016
28296,2583016
28396,2583108
28497,2583448
28597,2583708
28696,2583204
28799,2583280
28900,2583480
29000,2583356
29100,2583496
29199,2583176
29304,2583176
29402,2583448
29503,2583448
29602,2583448
29702,2585204
29803,2585812
29903,2586828
30005,2586828
30105,2587164
30205,2586628
30307,2586628
30406,2587148
30508,2586560
30607,2586364
30708,2586788
30810,2586316
30908,2587904
31009,2587036
31110,2578284
31210,2578000
31310,2578696
31411,2578440
31517,2578244
31616,2578924
31718,2578320
31818,2578300
31919,2578072
32020,2578072
32119,2577948
32221,2577556
32321,2577848
32422,2577836
32523,2577836
32622,2578000
32724,2578024
32823,2577832
32924,2578372
33025,2577980
33124,2578516
33227,2577732
33327,2577756
33427,2578328
33527,2578328
33627,2578020
33732,2578044
33829,2578436
33930,2578356
34030,2578356
34130,2578132
34231,2578132
34331,2577936
34431,2578092
34533,2578092
34632,2578228
34734,2578228
34835,2576260
34935,2575772
35036,2576012
35136,2575816
35237,2575816
35338,2575980
35441,2575980
35539,2576080
35640,2576976
35741,2576572
35841,2576508
35943,2576508
36042,2576312
36143,2576480
36244,2576712
36343,2577360
36446,2576576
36546,2576900
36646,2576644
36750,2576888
36849,2577400
36954,2577400
37051,2577400
37153,2576916
37253,2576132
37352,2576760
37454,2576564
37554,2576368
37654,2576040
37755,2576108
37855,2576968
37955,2583664
38005,2586224
38106,2587016
