datetime,cpu
Sat Oct 17 03:49:45 GMT 2020,16
Sat Oct 17 03:49:45 GMT 2020,16
Sat Oct 17 03:49:45 GMT 2020,16
Sat Oct 17 03:49:45 GMT 2020,16
Sat Oct 17 03:49:46 GMT 2020,16
Sat Oct 17 03:49:46 GMT 2020,16
Sat Oct 17 03:49:46 GMT 2020,16
Sat Oct 17 03:49:46 GMT 2020,16
Sat Oct 17 03:49:47 GMT 2020,16
Sat Oct 17 03:49:47 GMT 2020,16
Sat Oct 17 03:49:47 GMT 2020,16
Sat Oct 17 03:49:47 GMT 2020,16
Sat Oct 17 03:49:47 GMT 2020,16
Sat Oct 17 03:49:48 GMT 2020,16
Sat Oct 17 03:49:48 GMT 2020,16
Sat Oct 17 03:49:48 GMT 2020,16
