Time  [ms],Memory Usage [KB]
0,2550520
103,2555016
204,2568600
300,2575328
400,2589172
505,2595344
554,2610116
658,2614652
756,2617884
857,2619004
957,2619308
1058,2620072
1158,2609256
1258,2609808
1358,2612144
1459,2614200
1559,2616120
1659,2618220
1760,2624064
1860,2629064
1962,2632564
2062,2632516
2162,2632988
2262,2633104
2363,2637704
2463,2642384
2564,2643376
2664,2643376
2765,2642396
2865,2642364
2966,2643696
3067,2644208
3167,2644000
3268,2644260
3368,2644420
