datetime,cpu
Sat Oct 17 14:42:33 GMT 2020,15
Sat Oct 17 14:42:33 GMT 2020,15
Sat Oct 17 14:42:33 GMT 2020,15
Sat Oct 17 14:42:33 GMT 2020,15
Sat Oct 17 14:42:33 GMT 2020,15
Sat Oct 17 14:42:34 GMT 2020,15
Sat Oct 17 14:42:34 GMT 2020,15
Sat Oct 17 14:42:34 GMT 2020,15
Sat Oct 17 14:42:34 GMT 2020,15
Sat Oct 17 14:42:35 GMT 2020,15
Sat Oct 17 14:42:35 GMT 2020,15
Sat Oct 17 14:42:35 GMT 2020,15
Sat Oct 17 14:42:35 GMT 2020,15
Sat Oct 17 14:42:35 GMT 2020,15
Sat Oct 17 14:42:36 GMT 2020,15
