Time  [ms],Memory Usage [KB]
0,2534408
101,2538732
201,2543108
306,2558972
404,2573108
504,2574628
604,2575676
704,2578820
804,2598988
904,2600356
1005,2600332
1106,2600372
1206,2599904
1306,2600176
1406,2600444
1507,2598876
1607,2598088
1708,2598408
1808,2602548
1909,2608084
2009,2610508
2109,2612600
2210,2614312
2310,2614328
2411,2615664
2511,2617188
2611,2618060
2712,2621660
2812,2627044
2912,2629768
3014,2629436
3114,2629712
3215,2631848
3315,2634664
3415,2633924
3516,2634860
