Time  [ms],Memory Usage [KB]
0,2544960
110,2555636
212,2561896
310,2576460
411,2578556
512,2587168
612,2587040
713,2589976
813,2611372
913,2612024
1014,2613272
1114,2612724
1215,2613620
1315,2614688
1416,2617088
1516,2615520
1617,2620192
1717,2624032
1817,2627168
1918,2629940
2019,2633244
2120,2636500
2219,2637868
2320,2639960
2422,2640224
2521,2642364
2621,2654084
2722,2659760
2823,2661848
2924,2665320
3024,2666080
3125,2668944
3227,2668716
3328,2666860
3429,2648928
3529,2652148
