datetime,cpu
Sat Oct 17 15:22:08 GMT 2020,16
Sat Oct 17 15:22:09 GMT 2020,16
Sat Oct 17 15:22:09 GMT 2020,16
Sat Oct 17 15:22:09 GMT 2020,16
Sat Oct 17 15:22:09 GMT 2020,16
Sat Oct 17 15:22:10 GMT 2020,16
Sat Oct 17 15:22:10 GMT 2020,16
Sat Oct 17 15:22:10 GMT 2020,16
Sat Oct 17 15:22:10 GMT 2020,16
Sat Oct 17 15:22:11 GMT 2020,16
Sat Oct 17 15:22:11 GMT 2020,16
Sat Oct 17 15:22:11 GMT 2020,16
Sat Oct 17 15:22:11 GMT 2020,16
Sat Oct 17 15:22:11 GMT 2020,16
Sat Oct 17 15:22:12 GMT 2020,16
Sat Oct 17 15:22:12 GMT 2020,16
Sat Oct 17 15:22:12 GMT 2020,16
Sat Oct 17 15:22:12 GMT 2020,16
Sat Oct 17 15:22:13 GMT 2020,16
Sat Oct 17 15:22:13 GMT 2020,16
Sat Oct 17 15:22:13 GMT 2020,16
Sat Oct 17 15:22:13 GMT 2020,16
Sat Oct 17 15:22:13 GMT 2020,16
Sat Oct 17 15:22:14 GMT 2020,16
Sat Oct 17 15:22:14 GMT 2020,16
Sat Oct 17 15:22:14 GMT 2020,16
