Time  [ms],Memory Usage [KB]
0,2622628
103,2630104
201,2638456
304,2654584
403,2663044
503,2667440
603,2666704
703,2669116
806,2691248
906,2691524
1007,2692068
1107,2693444
1207,2697024
1308,2700024
1409,2701536
1509,2700408
1609,2702748
1710,2701952
1810,2702888
1910,2697792
2011,2699652
2111,2701928
2212,2704932
2312,2704996
2413,2705480
2513,2716792
2613,2717232
2714,2718960
2814,2718584
2914,2718452
3015,2718260
3116,2718392
3216,2719164
3316,2719448
3416,2720336
3517,2719968
3617,2723304
3717,2730492
3819,2735828
3918,2738304
4020,2739460
4119,2740016
4224,2741640
4320,2741924
4421,2744588
4521,2745632
4622,2748116
4723,2747856
4823,2748868
4923,2745888
