datetime,cpu
Sat Oct 17 19:19:03 GMT 2020,14
Sat Oct 17 19:19:03 GMT 2020,14
Sat Oct 17 19:19:03 GMT 2020,14
Sat Oct 17 19:19:04 GMT 2020,14
Sat Oct 17 19:19:04 GMT 2020,14
Sat Oct 17 19:19:04 GMT 2020,14
Sat Oct 17 19:19:04 GMT 2020,14
Sat Oct 17 19:19:05 GMT 2020,14
Sat Oct 17 19:19:05 GMT 2020,14
Sat Oct 17 19:19:05 GMT 2020,14
Sat Oct 17 19:19:05 GMT 2020,14
Sat Oct 17 19:19:06 GMT 2020,14
Sat Oct 17 19:19:06 GMT 2020,14
Sat Oct 17 19:19:06 GMT 2020,14
Sat Oct 17 19:19:06 GMT 2020,14
Sat Oct 17 19:19:07 GMT 2020,14
Sat Oct 17 19:19:07 GMT 2020,14
Sat Oct 17 19:19:07 GMT 2020,14
Sat Oct 17 19:19:07 GMT 2020,14
