Time  [ms],Memory Usage [KB]
0,2596804
98,2595088
198,2597740
299,2601700
398,2606924
499,2613964
600,2632272
700,2652352
804,2653412
901,2654128
1001,2653364
1102,2655052
1202,2656004
1304,2660176
1403,2662056
1503,2664516
1604,2667224
1704,2668976
1805,2676060
1906,2679368
2006,2680032
2106,2680496
2207,2681148
2312,2681148
2408,2681516
2508,2680648
2609,2681028
2709,2681360
2811,2687444
2912,2688708
3012,2688860
3112,2688732
3212,2689176
3313,2686628
3413,2687676
3514,2687000
3614,2687528
3714,2684676
3816,2684676
3915,2682924
4016,2682924
4117,2682728
4217,2682652
4318,2682652
4417,2668920
4519,2668972
4618,2669132
4719,2669000
4819,2669384
4919,2665336
5020,2665856
5120,2665764
5222,2665764
5321,2665368
5422,2665368
5522,2665948
5622,2665608
5723,2665168
5824,2665380
5924,2664988
6024,2666476
6124,2666736
6225,2667364
6325,2666136
6428,2674244
6526,2674672
6627,2675164
6727,2666956
6827,2668396
6928,2667808
7028,2651888
7128,2650572
7229,2650452
7329,2651460
7430,2651460
7530,2651312
7631,2651312
7731,2651004
7833,2651288
7932,2651288
8033,2651236
8133,2650452
8234,2651388
8334,2650800
8438,2651204
8535,2650608
8637,2650608
8736,2650052
8836,2650052
8937,2650284
9037,2650392
9138,2650392
9238,2650304
9343,2650500
9439,2650572
9539,2651120
9640,2651120
9740,2651348
9842,2651348
9941,2651044
10043,2651416
10142,2651416
10242,2651316
10345,2651316
10444,2651904
10544,2651052
10645,2651052
10745,2650324
10847,2650324
10947,2650824
11047,2651036
11148,2651368
11247,2651652
11351,2651652
11451,2652156
11551,2651312
11652,2651160
11753,2651332
11854,2651136
11953,2652508
12055,2651528
12155,2652052
12255,2651808
12358,2651808
12457,2652080
12558,2651976
12657,2652524
12758,2652824
12859,2652628
12959,2652756
13059,2651680
13160,2650736
13259,2651156
13361,2651156
13461,2651972
13562,2651880
13662,2651480
13762,2651820
13863,2651624
13965,2652328
14064,2652004
14164,2652004
14265,2652108
14367,2651912
14466,2652324
14568,2651712
14667,2651712
14767,2651844
14871,2651844
14969,2652136
15069,2652236
15169,2652336
15270,2652592
15374,2652396
15471,2652972
15573,2651860
15673,2651896
15772,2651784
15874,2651784
15975,2652108
16075,2651960
16176,2651980
16275,2652088
16377,2652088
16477,2652000
16578,2652312
16680,2652508
16778,2652504
16880,2652304
16979,2652304
17080,2652660
17181,2652464
17281,2652640
17381,2652640
17482,2652464
17582,2652932
17683,2653216
17782,2653076
17885,2653076
17984,2653300
18085,2652572
18185,2652572
18285,2652532
18387,2652532
18487,2652532
18586,2652484
18688,2652684
18788,2652832
18889,2652832
18989,2652636
19090,2653056
19191,2653264
19291,2653712
19393,2653712
19493,2653828
19593,2653344
19694,2655496
19793,2656060
19896,2656060
19996,2657416
20046,2656632
20148,2656640
20248,2657168
20349,2655852
20449,2655524
20549,2656172
20651,2656208
20750,2656516
20852,2656176
20952,2656952
21052,2656560
21153,2656560
21254,2656560
21353,2655792
21454,2656036
21554,2656688
21656,2656688
21756,2656612
21855,2656396
21957,2656396
22056,2657088
22158,2657088
22259,2657136
22359,2657584
22460,2657532
22559,2658040
22661,2657060
22761,2657128
22862,2656540
22962,2656540
23062,2656812
23163,2656812
23264,2657172
23364,2656692
23465,2656608
23565,2657048
23666,2657048
23768,2657336
23868,2656788
23968,2656788
24069,2657012
24169,2657012
24269,2656816
24370,2657320
24474,2657324
24571,2657308
24671,2656604
24772,2658912
24872,2660252
24972,2663220
25075,2668532
25175,2674732
25276,2680632
