Time  [ms],Memory Usage [KB]
0,2354872
98,2362132
201,2368048
299,2383696
352,2385436
454,2394048
554,2395520
656,2398648
758,2418620
858,2416888
959,2415620
1059,2404336
1160,2410332
1260,2410824
1360,2411576
1465,2411784
1561,2408384
1664,2408384
1762,2409272
1862,2405836
1966,2405700
2064,2406100
2166,2406100
2266,2406172
2366,2409952
2466,2412584
2566,2419020
2667,2422516
2767,2423036
2869,2424032
2968,2426968
3068,2424048
3169,2426324
3269,2429104
3370,2428884
3471,2428144
3571,2430692
3671,2431860
3772,2433480
3872,2436728
3972,2438200
4073,2439392
4174,2440752
4274,2442308
4374,2442872
4474,2442840
4575,2442396
4677,2441916
4776,2443812
4876,2439064
4976,2438112
5077,2438204
5177,2452396
5277,2455648
5377,2455692
5478,2456656
5578,2457068
5679,2457644
5779,2457940
5879,2482200
5980,2478312
6080,2483140
6181,2495160
6281,2495020
6382,2483240
6482,2487652
6582,2474276
6682,2477916
6783,2487144
6884,2498328
6984,2499708
7084,2500412
7185,2502560
7285,2487024
7385,2481600
7485,2485176
7586,2492396
7686,2509992
7788,2514780
7888,2514492
7988,2515672
8089,2520432
8189,2520208
8289,2519564
8390,2513672
8491,2513672
8591,2511860
8691,2505604
8791,2503916
8892,2505300
8992,2510724
9092,2496920
9192,2495992
9294,2495988
