device,subject,browser,batterystats_Joule_calculated
nexus6p,subjects-ammar-cloud-ammar-cloud,firefox,56.94427800000001
nexus6p,subjects_critical-holifestival-org-holifestival-org,firefox,51.1736724
nexus6p,subjects_critical-compresse-per-articolazioni-eu-compresse-per-articolazioni-eu,firefox,50.8112316
nexus6p,subjects_critical-ubersocial-com-ubersocial-com,firefox,45.25364160000001
nexus6p,subjects_critical-legalaidnc-org-legalaidnc-org,firefox,57.2741532
nexus6p,subjects_critical-greasyfork-org-greasyfork-org,firefox,46.856059200000004
nexus6p,subjects_critical-iflyer-tv-iflyer-tv,firefox,61.702073999999996
nexus6p,subjects-telfer-ru-telfer-ru,firefox,54.08724600000001
nexus6p,subjects_critical-fusion-org-fusion-org,firefox,68.1568272
nexus6p,subjects_critical-ammar-cloud-ammar-cloud,firefox,61.6103928
nexus6p,subjects_critical-cbdvapejuice-net-cbdvapejuice-net,firefox,56.56502879999999
nexus6p,subjects-greentechmedia-com-greentechmedia-com,firefox,64.561212
nexus6p,subjects_critical-sciencebeta-com-sciencebeta-com,firefox,45.32258879999999
nexus6p,subjects-kenengba-com-kenengba-com,firefox,57.84579
nexus6p,subjects-sportravel-es-sportravel-es,firefox,67.9513248
nexus6p,subjects-holifestival-org-holifestival-org,firefox,49.123476000000004
nexus6p,subjects_critical-hagley-org-hagley-org,firefox,66.16568520000001
nexus6p,subjects_critical-hcss-com-hcss-com,firefox,61.27862039999999
nexus6p,subjects-compresse-per-articolazioni-eu-compresse-per-articolazioni-eu,firefox,49.263588000000006
nexus6p,subjects-lekhafoods-com-lekhafoods-com,firefox,57.2433156
nexus6p,subjects-cottagelife-com-cottagelife-com,firefox,63.094773599999996
nexus6p,subjects-iliketubes-com-iliketubes-com,firefox,53.6878512
nexus6p,subjects_critical-quechua-co-uk-quechua-co-uk,firefox,58.9786308
nexus6p,subjects_critical-adriaticbasket-info-adriaticbasket-info,firefox,57.38679
nexus6p,subjects-gildedserpent-com-gildedserpent-com,firefox,54.408841200000005
nexus6p,subjects-adidasnmd-us-adidasnmd-us,firefox,86.721516
nexus6p,subjects_critical-greentechmedia-com-greentechmedia-com,firefox,66.72280680000001
nexus6p,subjects-fusion-org-fusion-org,firefox,64.378908
nexus6p,subjects-mrob-com-mrob-com,firefox,49.05038879999999
nexus6p,subjects_critical-sportravel-es-sportravel-es,firefox,72.3190068
nexus6p,subjects_critical-kenengba-com-kenengba-com,firefox,61.114327200000005
nexus6p,subjects_critical-mrob-com-mrob-com,firefox,50.1004476
nexus6p,subjects-hagley-org-hagley-org,firefox,66.47112360000001
nexus6p,subjects-adriaticbasket-info-adriaticbasket-info,firefox,58.27552920000001
nexus6p,subjects-ubersocial-com-ubersocial-com,firefox,46.5152148
nexus6p,subjects_critical-gildedserpent-com-gildedserpent-com,firefox,53.63668439999999
nexus6p,subjects_critical-cottagelife-com-cottagelife-com,firefox,64.89295560000001
nexus6p,subjects-cbdvapejuice-net-cbdvapejuice-net,firefox,63.3705912
nexus6p,subjects-legalaidnc-org-legalaidnc-org,firefox,55.110106800000004
nexus6p,subjects_critical-telfer-ru-telfer-ru,firefox,51.113692799999995
nexus6p,subjects-quechua-co-uk-quechua-co-uk,firefox,60.43025880000001
nexus6p,subjects-iflyer-tv-iflyer-tv,firefox,57.94540919999999
nexus6p,subjects-sciencebeta-com-sciencebeta-com,firefox,44.96928480000001
nexus6p,subjects_critical-iliketubes-com-iliketubes-com,firefox,51.343092
nexus6p,subjects_critical-lekhafoods-com-lekhafoods-com,firefox,59.833663200000004
nexus6p,subjects_critical-adidasnmd-us-adidasnmd-us,firefox,67.628106
nexus6p,subjects-hcss-com-hcss-com,firefox,63.21362399999998
nexus6p,subjects-greasyfork-org-greasyfork-org,firefox,47.004958800000004
nexus6p,subjects_critical-velovita-com-velovita-com,firefox,67.08363840000001
nexus6p,subjects-velovita-com-velovita-com,firefox,64.9261908
