device,subject,browser,Memory Usage [KB]
nexus6p,subjects-ammar-cloud-ammar-cloud,firefox,2544160.5791040584
nexus6p,subjects_critical-holifestival-org-holifestival-org,firefox,2542065.8923475784
nexus6p,subjects_critical-compresse-per-articolazioni-eu-compresse-per-articolazioni-eu,firefox,2538950.7937579546
nexus6p,subjects_critical-ubersocial-com-ubersocial-com,firefox,2519980.310823422
nexus6p,subjects_critical-legalaidnc-org-legalaidnc-org,firefox,2552031.8417903828
nexus6p,subjects_critical-greasyfork-org-greasyfork-org,firefox,2531781.1913091927
nexus6p,subjects_critical-iflyer-tv-iflyer-tv,firefox,2519741.701331403
nexus6p,subjects-telfer-ru-telfer-ru,firefox,2561048.4999844944
nexus6p,subjects_critical-fusion-org-fusion-org,firefox,2613779.932876027
nexus6p,subjects_critical-ammar-cloud-ammar-cloud,firefox,2577694.1936959187
nexus6p,subjects_critical-cbdvapejuice-net-cbdvapejuice-net,firefox,2531791.823870142
nexus6p,subjects-greentechmedia-com-greentechmedia-com,firefox,2530032.4223727183
nexus6p,subjects_critical-sciencebeta-com-sciencebeta-com,firefox,2509731.6088058567
nexus6p,subjects-kenengba-com-kenengba-com,firefox,2539526.2643311885
nexus6p,subjects-sportravel-es-sportravel-es,firefox,2568861.6447646106
nexus6p,subjects-holifestival-org-holifestival-org,firefox,2514602.3756923075
nexus6p,subjects_critical-hagley-org-hagley-org,firefox,2579834.820896179
nexus6p,subjects_critical-hcss-com-hcss-com,firefox,2541479.5495225573
nexus6p,subjects-compresse-per-articolazioni-eu-compresse-per-articolazioni-eu,firefox,2525136.2112834547
nexus6p,subjects-lekhafoods-com-lekhafoods-com,firefox,2535462.358728094
nexus6p,subjects-cottagelife-com-cottagelife-com,firefox,2554066.774007075
nexus6p,subjects-iliketubes-com-iliketubes-com,firefox,2595471.054152464
nexus6p,subjects_critical-quechua-co-uk-quechua-co-uk,firefox,2532205.284804864
nexus6p,subjects_critical-adriaticbasket-info-adriaticbasket-info,firefox,2565593.2615749356
nexus6p,subjects-gildedserpent-com-gildedserpent-com,firefox,2523903.545664062
nexus6p,subjects-adidasnmd-us-adidasnmd-us,firefox,2545669.13416827
nexus6p,subjects_critical-greentechmedia-com-greentechmedia-com,firefox,2559672.304628539
nexus6p,subjects-fusion-org-fusion-org,firefox,2555134.4023032873
nexus6p,subjects-mrob-com-mrob-com,firefox,2500139.740483594
nexus6p,subjects_critical-sportravel-es-sportravel-es,firefox,2586874.43117725
nexus6p,subjects_critical-kenengba-com-kenengba-com,firefox,2539318.982472917
nexus6p,subjects_critical-mrob-com-mrob-com,firefox,2540660.8642370286
nexus6p,subjects-hagley-org-hagley-org,firefox,2576136.4488889007
nexus6p,subjects-adriaticbasket-info-adriaticbasket-info,firefox,2560085.0333712036
nexus6p,subjects-ubersocial-com-ubersocial-com,firefox,2540598.0633721063
nexus6p,subjects_critical-gildedserpent-com-gildedserpent-com,firefox,2561188.705391745
nexus6p,subjects_critical-cottagelife-com-cottagelife-com,firefox,2570393.698850516
nexus6p,subjects-cbdvapejuice-net-cbdvapejuice-net,firefox,2535382.6266175536
nexus6p,subjects-legalaidnc-org-legalaidnc-org,firefox,2548048.1736100568
nexus6p,subjects_critical-telfer-ru-telfer-ru,firefox,2531471.1145626428
nexus6p,subjects-quechua-co-uk-quechua-co-uk,firefox,2568927.1556842555
nexus6p,subjects-iflyer-tv-iflyer-tv,firefox,2549981.0473015876
nexus6p,subjects-sciencebeta-com-sciencebeta-com,firefox,2526758.8418972334
nexus6p,subjects_critical-iliketubes-com-iliketubes-com,firefox,2523191.7393369637
nexus6p,subjects_critical-lekhafoods-com-lekhafoods-com,firefox,2524956.940422874
nexus6p,subjects_critical-adidasnmd-us-adidasnmd-us,firefox,2538529.082142166
nexus6p,subjects-hcss-com-hcss-com,firefox,2541968.027287314
nexus6p,subjects-greasyfork-org-greasyfork-org,firefox,2544040.808102767
nexus6p,subjects_critical-velovita-com-velovita-com,firefox,2554170.15568
nexus6p,subjects-velovita-com-velovita-com,firefox,2547661.990742652
