datetime,cpu
Sun Oct 18 09:56:52 GMT 2020,28
Sun Oct 18 09:56:52 GMT 2020,28
Sun Oct 18 09:56:52 GMT 2020,28
Sun Oct 18 09:56:52 GMT 2020,28
Sun Oct 18 09:56:53 GMT 2020,28
Sun Oct 18 09:56:53 GMT 2020,28
Sun Oct 18 09:56:53 GMT 2020,28
Sun Oct 18 09:56:53 GMT 2020,28
Sun Oct 18 09:56:54 GMT 2020,28
Sun Oct 18 09:56:54 GMT 2020,28
Sun Oct 18 09:56:54 GMT 2020,28
Sun Oct 18 09:56:54 GMT 2020,28
Sun Oct 18 09:56:54 GMT 2020,28
Sun Oct 18 09:56:55 GMT 2020,28
Sun Oct 18 09:56:55 GMT 2020,28
Sun Oct 18 09:56:55 GMT 2020,28
Sun Oct 18 09:56:55 GMT 2020,28
Sun Oct 18 09:56:56 GMT 2020,28
Sun Oct 18 09:56:56 GMT 2020,28
