Time  [ms],Memory Usage [KB]
0,2502080
101,2498860
201,2501396
302,2500680
402,2501004
502,2501400
602,2520144
703,2521440
804,2525876
904,2524100
1004,2526380
1104,2537012
1205,2538472
1305,2541928
1405,2549228
1505,2553944
1605,2539260
1706,2533940
1806,2534056
1907,2535788
2007,2536104
2109,2536116
2208,2536628
2310,2536628
2409,2536480
2511,2536188
2612,2533000
2711,2530696
2812,2529156
2911,2530008
3015,2529812
3112,2530096
3214,2529508
3314,2529312
3414,2530172
3516,2529976
3616,2530476
3717,2529756
3816,2530060
3917,2531496
4017,2530124
4117,2529988
4223,2529988
4320,2530256
4420,2530120
4521,2530340
4620,2530964
4721,2530732
4821,2531032
4922,2531032
5024,2530836
5125,2531156
5224,2531156
5324,2531020
5425,2531076
5525,2530936
5627,2530936
5726,2530936
5826,2531004
5927,2531632
6027,2532056
6128,2531684
6228,2532696
6328,2531588
6429,2532248
6529,2536676
6629,2532240
6731,2531320
6830,2530028
6931,2513480
7031,2513008
7131,2512360
7232,2511616
7333,2510980
7434,2510784
7534,2511116
7637,2511116
7736,2510788
7836,2510832
7937,2511128
8037,2510848
8139,2510848
8239,2510852
8339,2511200
8441,2511260
8541,2511368
8643,2511088
8742,2510820
8843,2510960
8944,2510960
9045,2512112
9146,2511792
9247,2512040
9346,2512028
9448,2511936
9548,2512060
9649,2511668
9749,2511692
9850,2511708
9951,2511708
10051,2511872
10153,2511476
10252,2511596
10355,2511780
10455,2511780
10553,2511996
10654,2512104
10753,2512928
10854,2512732
10955,2512588
11055,2513332
11156,2515492
11256,2516452
11359,2516712
11457,2517848
11557,2517724
11657,2517724
11758,2517376
11858,2517420
11958,2518012
12059,2518012
12159,2518708
12260,2519004
12361,2519452
12461,2533068
12561,2535328
12661,2537812
12762,2540152
12862,2542096
12964,2544344
13065,2545596
13165,2545204
13265,2545204
13365,2545344
13467,2545344
13566,2545344
13667,2545064
13768,2545632
13867,2545332
13968,2548692
14068,2546732
14169,2552932
14269,2528816
14369,2530852
14471,2531476
14570,2531776
14672,2532692
14773,2532400
14871,2533392
14972,2533888
15072,2534952
15174,2535428
15274,2535924
15374,2536924
15474,2537224
15574,2537008
15677,2541968
15776,2539040
15877,2539800
15978,2540100
16077,2539968
16179,2540724
16278,2534172
16379,2535284
16480,2533948
16579,2529248
16681,2529396
16781,2529312
16881,2529248
16981,2529796
17085,2529796
17183,2529648
17284,2529540
17385,2529344
17484,2529432
17587,2529448
17686,2530056
17787,2529964
17887,2530064
17987,2529744
18088,2529744
18188,2530080
18289,2529552
18389,2529356
18489,2529696
18591,2529696
18692,2530392
18791,2529764
18892,2529584
18992,2531884
19092,2530316
19192,2530220
19295,2530220
19394,2530504
19494,2530380
19596,2530380
19695,2530432
19796,2530408
19897,2530392
19996,2530092
20097,2530400
20148,2530200
20248,2529772
20349,2529592
20449,2530536
20551,2529164
20650,2529688
