Time  [ms],Memory Usage [KB]
0,2466032
100,2462004
200,2463796
301,2463756
401,2464740
501,2463544
603,2465864
703,2485792
803,2486760
903,2491916
1003,2496756
1104,2491224
1204,2495868
1305,2499644
1405,2501940
1505,2502892
1606,2503656
1706,2511696
1806,2500456
1907,2501448
2007,2504068
2107,2507108
2208,2508608
2311,2508608
2409,2509924
2509,2510680
2610,2514116
2710,2512652
2810,2520064
2911,2520892
3013,2522292
3112,2523616
3212,2525104
3313,2525848
3413,2545192
3513,2546692
3614,2551136
3714,2573636
3816,2579756
