Time  [ms],Memory Usage [KB]
0,2514480
100,2496072
201,2499116
302,2497904
402,2499576
503,2498556
603,2518240
704,2519188
805,2522008
906,2525300
1007,2527196
1107,2523920
1208,2532944
1309,2534320
1410,2538560
1510,2537844
1611,2539896
1711,2541732
1812,2542092
1912,2539496
2013,2539496
2113,2540272
2214,2539780
2314,2539944
2415,2540608
2515,2541428
2615,2542184
2716,2543112
2817,2544640
2918,2545364
3021,2547864
3119,2547520
3219,2548588
3320,2549072
3421,2549688
3521,2552684
3622,2554180
3722,2557340
3824,2577968
3922,2580272
4023,2592476
4123,2594508
4225,2594508
4325,2592636
4425,2593328
4525,2596408
4626,2598528
4727,2607072
4827,2603432
4927,2604392
5028,2649068
