Time  [ms],Memory Usage [KB]
0,2626456
99,2625564
200,2630260
301,2632024
401,2631476
501,2630980
603,2648352
703,2653232
804,2652876
904,2654736
1005,2656504
1105,2661992
1206,2666692
1307,2671888
1407,2680148
1508,2686412
1608,2684980
1709,2679476
1810,2681064
1910,2678944
2011,2675600
2111,2675944
2215,2675944
2315,2676752
2416,2677728
2516,2680012
2617,2698792
2717,2715888
2818,2717764
2919,2718008
3018,2721092
3119,2723980
3220,2726436
3320,2729360
3421,2732924
3521,2736356
