datetime,cpu
Sun Oct 18 14:18:26 GMT 2020,30
Sun Oct 18 14:18:26 GMT 2020,30
Sun Oct 18 14:18:27 GMT 2020,30
Sun Oct 18 14:18:27 GMT 2020,30
Sun Oct 18 14:18:27 GMT 2020,30
Sun Oct 18 14:18:27 GMT 2020,30
Sun Oct 18 14:18:27 GMT 2020,30
Sun Oct 18 14:18:28 GMT 2020,30
Sun Oct 18 14:18:28 GMT 2020,30
Sun Oct 18 14:18:28 GMT 2020,30
Sun Oct 18 14:18:28 GMT 2020,30
Sun Oct 18 14:18:29 GMT 2020,30
Sun Oct 18 14:18:29 GMT 2020,30
Sun Oct 18 14:18:29 GMT 2020,30
Sun Oct 18 14:18:29 GMT 2020,30
Sun Oct 18 14:18:29 GMT 2020,30
Sun Oct 18 14:18:30 GMT 2020,30
Sun Oct 18 14:18:30 GMT 2020,30
Sun Oct 18 14:18:30 GMT 2020,30
Sun Oct 18 14:18:30 GMT 2020,30
Sun Oct 18 14:18:31 GMT 2020,30
Sun Oct 18 14:18:31 GMT 2020,30
