Time  [ms],Memory Usage [KB]
0,2583268
100,2584872
201,2586424
301,2585988
402,2586324
504,2585744
604,2588584
705,2606752
805,2608960
905,2611364
1006,2611472
1106,2620432
1207,2627116
1307,2633236
1408,2630396
1509,2625960
1609,2620720
1709,2622520
1810,2623520
1910,2625204
2011,2625068
2111,2627616
2212,2629132
2312,2631008
2412,2624408
2513,2624460
2614,2627236
2714,2655224
2814,2672168
2914,2674128
3015,2679268
3115,2678288
3215,2679952
3316,2680748
3416,2680956
3516,2685372
3617,2684928
3717,2686272
3818,2686304
3918,2689152
4018,2692224
4119,2697424
4219,2699316
