Time  [ms],Memory Usage [KB]
0,2434904
100,2435956
200,2438324
300,2438232
401,2438940
501,2431404
601,2451248
702,2453460
803,2456512
903,2457796
1003,2459848
1104,2461084
1204,2467980
1304,2469488
1404,2473892
1505,2475028
1605,2480188
1706,2479516
1806,2478308
1907,2481552
2007,2480712
2108,2481208
2208,2480920
2309,2483096
2409,2485024
2509,2487052
2609,2490096
2710,2489904
2810,2492912
2911,2495980
3012,2478072
3112,2479524
3213,2505948
3314,2516148
3415,2519100
3515,2529308
3616,2546232
