Time  [ms],Memory Usage [KB]
0,2608608
98,2590640
199,2592480
299,2592444
401,2594676
500,2588344
600,2588848
700,2607016
802,2610768
901,2608668
1002,2610604
1102,2619312
1203,2621980
1303,2627004
1404,2631204
1504,2641020
1605,2636672
1705,2639308
1805,2658232
1906,2658180
2006,2658924
2107,2664232
2207,2663792
2307,2681056
2408,2682328
2509,2682820
2609,2688264
2709,2687340
2810,2682036
2910,2682072
3010,2682848
3111,2682664
3212,2684756
3312,2683908
3412,2683484
