Time  [ms],Memory Usage [KB]
0,2432496
100,2432412
200,2433724
301,2435164
401,2435884
501,2434016
602,2437216
704,2455676
803,2456496
904,2457276
1004,2461776
1104,2457216
1204,2467312
1304,2472212
1405,2468520
1505,2471736
1606,2472108
1706,2474208
1806,2473620
1906,2478528
2007,2474580
2107,2473328
2207,2475772
2309,2474908
2408,2477980
2508,2478848
2609,2480560
2710,2481424
2811,2483352
2911,2483548
3011,2488336
3111,2489672
3212,2495140
3312,2497028
3412,2514060
3513,2516636
3613,2518240
3713,2520164
3814,2512724
3914,2515496
4017,2517080
4115,2517088
4215,2519604
4316,2520820
4416,2522232
