Time  [ms],Memory Usage [KB]
0,2451728
101,2451512
201,2434496
301,2434400
401,2435540
502,2436320
602,2436824
703,2456396
803,2457956
903,2456968
1004,2459120
1105,2469284
1205,2464960
1306,2468732
1406,2473352
1506,2474196
1606,2475020
1707,2480956
1807,2481292
1907,2483632
2008,2486764
2112,2484404
2208,2486548
2309,2488180
2410,2489668
2510,2491080
2612,2521860
2712,2526164
2815,2538476
2914,2584080
3014,2583948
3115,2587484
3215,2587520
3315,2588776
3417,2589080
3516,2589632
3616,2592068
3717,2593944
3818,2597608
3918,2599856
4018,2604016
4122,2603292
