datetime,cpu
Sun Oct 18 17:49:04 GMT 2020,28
Sun Oct 18 17:49:04 GMT 2020,28
Sun Oct 18 17:49:04 GMT 2020,28
Sun Oct 18 17:49:05 GMT 2020,28
Sun Oct 18 17:49:05 GMT 2020,28
Sun Oct 18 17:49:05 GMT 2020,28
Sun Oct 18 17:49:05 GMT 2020,28
Sun Oct 18 17:49:06 GMT 2020,28
Sun Oct 18 17:49:06 GMT 2020,28
Sun Oct 18 17:49:06 GMT 2020,28
Sun Oct 18 17:49:06 GMT 2020,28
Sun Oct 18 17:49:06 GMT 2020,28
Sun Oct 18 17:49:07 GMT 2020,28
Sun Oct 18 17:49:07 GMT 2020,28
Sun Oct 18 17:49:07 GMT 2020,28
Sun Oct 18 17:49:07 GMT 2020,28
Sun Oct 18 17:49:07 GMT 2020,28
Sun Oct 18 17:49:08 GMT 2020,28
Sun Oct 18 17:49:08 GMT 2020,28
Sun Oct 18 17:49:08 GMT 2020,28
