Time  [ms],Memory Usage [KB]
0,2591616
100,2594236
201,2595388
301,2595748
402,2596960
502,2596460
602,2597644
702,2614552
804,2617320
903,2617744
1003,2618644
1104,2627412
1204,2630456
1304,2634264
1405,2641164
1507,2644056
1611,2646632
1707,2650228
1809,2653328
1908,2655912
2008,2640016
2109,2642832
2209,2645760
2309,2647176
2411,2649080
2510,2651504
2610,2654604
2711,2650676
2811,2653124
2912,2671236
3012,2680148
3113,2682952
3213,2685040
3313,2700584
3414,2703424
3514,2705968
3615,2706784
3715,2707344
3816,2710744
