datetime,cpu
Sun Oct 18 15:50:17 GMT 2020,27
Sun Oct 18 15:50:17 GMT 2020,27
Sun Oct 18 15:50:17 GMT 2020,27
Sun Oct 18 15:50:18 GMT 2020,27
Sun Oct 18 15:50:18 GMT 2020,27
Sun Oct 18 15:50:18 GMT 2020,27
Sun Oct 18 15:50:18 GMT 2020,27
Sun Oct 18 15:50:19 GMT 2020,27
Sun Oct 18 15:50:19 GMT 2020,27
Sun Oct 18 15:50:19 GMT 2020,27
Sun Oct 18 15:50:19 GMT 2020,27
Sun Oct 18 15:50:19 GMT 2020,27
Sun Oct 18 15:50:20 GMT 2020,27
Sun Oct 18 15:50:20 GMT 2020,27
Sun Oct 18 15:50:20 GMT 2020,27
Sun Oct 18 15:50:20 GMT 2020,27
Sun Oct 18 15:50:21 GMT 2020,27
Sun Oct 18 15:50:21 GMT 2020,27
