Time  [ms],Memory Usage [KB]
0,2520124
101,2520700
201,2522976
302,2522760
403,2523668
453,2523532
553,2525876
653,2544220
758,2546824
858,2531484
958,2537684
1059,2540036
1160,2536972
1260,2538632
1360,2537520
1461,2542512
1561,2535380
1661,2541388
1762,2542412
1863,2542764
1963,2542196
2063,2543948
2164,2548652
2268,2550524
2364,2557756
2465,2568636
2566,2569780
2666,2566032
2767,2559076
2868,2557168
2968,2558944
3068,2561456
3168,2563356
3268,2582656
3369,2586948
3469,2590648
