datetime,cpu
Sun Oct 18 13:23:25 GMT 2020,31
Sun Oct 18 13:23:25 GMT 2020,31
Sun Oct 18 13:23:25 GMT 2020,31
Sun Oct 18 13:23:26 GMT 2020,31
Sun Oct 18 13:23:26 GMT 2020,31
Sun Oct 18 13:23:26 GMT 2020,31
Sun Oct 18 13:23:26 GMT 2020,31
Sun Oct 18 13:23:27 GMT 2020,31
Sun Oct 18 13:23:27 GMT 2020,31
Sun Oct 18 13:23:27 GMT 2020,31
Sun Oct 18 13:23:27 GMT 2020,31
Sun Oct 18 13:23:27 GMT 2020,31
Sun Oct 18 13:23:28 GMT 2020,31
Sun Oct 18 13:23:28 GMT 2020,31
Sun Oct 18 13:23:28 GMT 2020,31
Sun Oct 18 13:23:28 GMT 2020,31
