Time  [ms],Memory Usage [KB]
0,2539724
101,2521508
201,2523588
302,2523788
402,2524940
503,2525332
603,2525456
703,2547928
807,2548372
905,2548688
1005,2551420
1105,2553516
1207,2563212
1308,2566684
1407,2569760
1507,2574192
1609,2584592
1709,2584216
1810,2577544
1911,2572536
2012,2575656
2111,2577424
2211,2591128
2312,2612196
2412,2614768
2512,2632424
2613,2636404
2714,2642960
2814,2640920
2914,2642584
3014,2642564
3116,2644488
3217,2644316
3318,2644432
3418,2644468
3519,2644636
3619,2645192
3720,2644984
3820,2645104
3923,2645736
4022,2644560
4122,2644700
4223,2650156
4323,2653476
4424,2630668
4524,2631644
4626,2633728
4727,2636724
4827,2640036
4930,2640564
