Time  [ms],Memory Usage [KB]
0,2416924
100,2417220
200,2420140
301,2421472
401,2422728
501,2421160
602,2423684
702,2441344
803,2443108
903,2429440
1004,2428288
1103,2438728
1204,2440104
1305,2444880
1406,2449504
1506,2455360
1607,2456516
1707,2454640
1808,2456204
1908,2456464
2008,2456600
2109,2453304
2209,2450996
2310,2450264
2410,2450280
2511,2451036
2612,2451420
2712,2452616
2815,2451984
2913,2452972
3013,2453376
3114,2455944
3214,2469380
3315,2469264
3415,2468752
3516,2467592
3616,2464988
3717,2462708
3818,2462944
3920,2483252
4019,2484956
4119,2494284
4220,2511188
